"1. 医师：你好，这几天怎么了？  
2. 患者：医生，我这几天老是咳嗽，还有点喘不过气来，晚上更厉害。  
3. 医师：咳嗽和喘息大概有几天了？  
4. 患者：应该是三天了吧。  
5. 医师：你的咳嗽是在什么时间比较明显？有痰吗？  
6. 患者：晚上比较厉害，没有痰，就是干咳。  
7. 医师：喘息是从什么时候开始的？  
8. 患者：跟咳嗽差不多时间开始的。  
9. 医师：喘息的时候有没有觉得呼吸困难？  
10. 患者：有，有时候就是喘不过气来，晚上更严重。  
11. 医师：有没有发烧、胸痛或者咳血？  
12. 患者：没有发烧，也没有胸痛，更没有咳血。  
13. 医师：以前有没有类似的情况？  
14. 患者：有过几次，感觉差不多，但是没有这次这么严重。  
15. 医师：那以前有没有诊断过哮喘或者其他过敏的病？  
16. 患者：医生说过我有过敏性皮肤病，但没有正式说我是哮喘。  
17. 医师：你的家里有没有家族得哮喘的人？  
18. 患者：没有，我家人都没有这种情况。  
19. 医师：有没有发现接触什么东西后，这种喘息或者咳嗽会加重？  
20. 患者：好像接触灰尘啊，花粉啊会更明显，但是我没注意太多。  
21. 医师：最近有没有做什么特别的事情比如接触新环境或者刺激物？  
22. 患者：我前几天跟家人去了一些空气不太好的地方，那边灰很大。  
23. 医师：好的。这次发作之前有没有用过什么药物？  
24. 患者：没有用药。  
25. 医师：在喘不过气的时候，会不会胸口有憋闷或者疼痛感？  
26. 患者：没有痛，就是觉得呼吸不够用。  
27. 医师：平时跑步或爬楼梯时会不会容易气喘吁吁？  
28. 患者：以前不会，这次情况有点不同。  
29. 医师：身体有没有其他不舒服的地方，比如肚子痛或腿肿？  
30. 患者：没有，就只有喘息和咳嗽。  
31. 医师：这些症状有没有影响到你的睡眠或者日常活动？  
32. 患者：有啊，晚上睡得特别差，总是咳醒。  
33. 医师：你平时有养宠物吗？  
34. 患者：没有，我们家都不养宠物。  
35. 医师：上次有没有拍过胸片或者查过血常规？记得结果吗？  
36. 患者：没有特别检查过，就有时候去感冒打针那种。  
37. 医师：吃东西的时候会不会咳得厉害，或者有呛到的情况？  
38. 患者：没有，就是一般的咳嗽。  
39. 医师：你在学校的时候，这种症状会发作得更频繁吗？  
40. 患者：有时候会，特别是教室灰尘大的时候。  
41. 医师：平时有没有注意到自己对什么食品或者饮料过敏？  
42. 患者：没有特别发现，对饭菜还挺正常。  
43. 医师：你接触烟雾或者有强烈气味的地方，症状会变严重吗？  
44. 患者：嗯，会更咳得厉害一点。  
45. 医师：你平时使用吸入药物或者其他治疗吗？  
46. 患者：没有用过，那些药都是别人用的，我不知道。  
47. 医师：好的。我现在听诊一下你的肺部，可以深呼吸一下吗？  
48. 患者：好，医生你听吧。  
49. 医师：（检查后）我听到你的肺部确实有哮鸣音，特别是在呼气的时候明显些。  
50. 医师：结合你的症状、病史和我们刚刚的检查，我认为你这是哮喘发作。我们需要用一些药物来帮助你控制症状，比如吸入类固醇药物联合长效支气管扩张剂治疗。"
