"1. 医师：您好，你最近有什么不舒服的地方吗？  
2. 患者：医生，我最近头痛得很厉害，而且眼睛有点看不清东西。  
3. 医师：什么时候开始出现这些症状的？  
4. 患者：大概三天前开始的吧，是间歇性的，但每次都很强烈，很难受。  
5. 医师：头痛是发生在头的哪个部位呢？  
6. 患者：在左边的太阳穴附近，很痛，一跳一跳的那种感觉。  
7. 医师：这种疼痛通常持续多长时间？  
8. 患者：差不多4到6个小时吧，有时候稍微短一点。  
9. 医师：在头痛开始之前，你会有别的症状吗？  
10. 患者：对，每次头痛前，我的眼前会看到一些闪光的影子。  
11. 医师：这些闪光一般会持续多久？  
12. 患者：大概10到20分钟吧，然后就开始头痛了。  
13. 医师：头痛期间还有其他的不适吗？  
14. 患者：有点恶心，但我没有吐。另外，我特别怕强光和噪音。  
15. 医师：有没有试过什么可以缓解疼痛的方法？  
16. 患者：进到黑暗的房间休息一下会好一点，但不是每次都管用。  
17. 医师：你尝试过吃药吗？  
18. 患者：是的，我吃了一些止痛药，短暂有点效果，但头痛很快又回来了。  
19. 医师：你以前也有类似的头痛吗？  
20. 患者：有的，我一直都会有头痛问题，大概是每个月3到4次吧。  
21. 医师：之前的头痛和这次有什么不一样的地方吗？  
22. 患者：这次特别严重，以前虽然痛，但是没有这么折磨人。  
23. 医师：你的生活作息最近有没有发生什么变化，比如熬夜或者压力增加？  
24. 患者：我最近考试比较多，睡得也很晚，应该是有点压力吧。  
25. 医师：明白了，你家里人有没有类似的头痛病史？  
26. 患者：我妈妈好像也有头痛问题，不过不知道是不是和我一样。  
27. 医师：嗯，你再告诉我，你这段时间的饮食习惯有没有什么变化？  
28. 患者：没有特别的变化，但可能咖啡喝得多了一些。  
29. 医师：头痛的时候会有其他伴随症状，比如手脚麻木或者说话困难吗？  
30. 患者：没有，就是头痛和眼睛看不清，还有恶心。  
31. 医师：你这些症状在白天和夜晚的规律有什么特别吗？  
32. 患者：没有特别的规律，可能白天更容易发作一些。  
33. 医师：头痛严重时，会让你觉得没有办法专注做事情吗？  
34. 患者：是的，我根本没法学习，只能休息。  
35. 医师：之前是不是也有过对声音和光线的敏感？  
36. 患者：是的，之前的头痛也会有这些症状。  
37. 医师：好，那平时有运动习惯吗？  
38. 患者：很少运动，最近时间也比较少安排锻炼。  
39. 医师：最近有没有什么感冒或者身体其他不舒服？  
40. 患者：没有感冒，也没有哪里不舒服。  
41. 医师：头痛之前有没有经历头部撞击过？  
42. 患者：没有，从来没有撞到头。  
43. 医师：头痛的时候有没有感觉耳鸣或者鼻塞？  
44. 患者：没有这样的症状。  
45. 医师：有没有注意到头痛和吃东西之间是否有关联？  
46. 患者：倒没有注意，但我平时也没吃什么特别的东西。  
47. 医师：头痛的时候，去医院做过什么检查吗？  
48. 患者：是的，做过脑CT，没有什么问题。  
49. 医师：好的，根据你的病史和症状，我初步考虑是偏头痛，伴有先兆的发作。  
50. 患者：这是什么病啊？会很严重吗？  "
