"1. 医师：你好，请问今天哪里不舒服？  
2. 患者：医生，我右下腹疼得厉害，还有点发烧，已经两天了。  
3. 医师：这种疼痛是突然发生的吗？还是逐渐加重的？  
4. 患者：刚开始是有点隐隐的痛，后来一天比一天疼得厉害。  
5. 医师：除了疼痛，还有其他不舒服的地方吗？比如恶心、呕吐？  
6. 患者：有点恶心，但没吐过。  
7. 医师：这个疼痛有没有往别的地方放射，比如右大腿或者后背？  
8. 患者：没有，就是一直在右下腹。  
9. 医师：你发现疼痛有什么让它更严重的情况吗？比如走路或者按压？  
10. 患者：走路或者站起来时疼得更厉害，按压也痛。  
11. 医师：有没有什么让疼痛缓解一点的方法？  
12. 患者：前天吃了一颗退烧药，好像能稍微好一些，但没完全不疼。  
13. 医师：这两天你有量过体温吗？发烧多少度？  
14. 患者：我量过，大概是37.8到38.2度之间，没有超过38.5度。  
15. 医师：有没有伴随寒战或者特别怕冷的感觉？  
16. 患者：没有，感觉只是发热，没有发冷。  
17. 医师：最近有没有咳嗽、呼吸困难或者其他症状？  
18. 患者：没有，呼吸还好，没有这些问题。  
19. 医师：你的月经最近正常吗？有可能怀孕吗？  
20. 患者：月经正常，前不久刚来过，没有怀孕。  
21. 医师：过去有没有类似的右下腹疼痛的病史？  
22. 患者：没有，这是第一次疼得这样厉害。  
23. 医师：有没有什么手术或者重大疾病的既往史？  
24. 患者：没有什么大问题，以前只知道自己有点过敏性鼻炎。  
25. 医师：服用过什么药物吗？有没有对某些药物过敏？  
26. 患者：没有药物过敏，前天吃过一颗对乙酰氨基酚，就是普通常用的退烧药。  
27. 医师：最近有没有接触过感染性病人或者食物中毒的可能性？  
28. 患者：没有，饮食和周围人都正常。  
29. 医师：你平时生活和工作压力大吗？有没有觉得特别疲劳或者情绪低落？  
30. 患者：工作还好，就是这几天病了不舒服，精神有点差。  
31. 医师：好的，我们来查一下身体，你的体温现在是38度，能让我检查下你的腹部吗？  
32. 患者：可以，请医生检查吧。  
33. 医师：（触诊腹部）你右下腹这里按压疼痛明显吗？  
34. 患者：对，特别是按下去的时候更加疼。  
35. 医师：（触诊时注意到）这里的麦氏点很敏感，伴有点反跳痛，但不是太严重。  
36. 患者：对，每次按这里都特别疼。  
37. 医师：其他地方，比如全腹有感觉到类似的疼痛吗？  
38. 患者：没有，其他地方没有痛。  
39. 医师：心肺查体没有明显问题，现在肢体检查也没有水肿或者别的异常情况，你最近精神好像也没有大问题，对吧？  
40. 患者：对，就是肚子痛和难受比较影响精神。  
41. 医师：接下来我建议抽几管血，做血常规和炎症指标看看身体的情况，你同意吗？  
42. 患者：好的，我同意检查。  
43. 医师：血检显示你的白细胞增高，还有中性粒细胞比例偏高，这表示有炎症反应。  
44. 患者：这是不是说明我可能感染了什么？  
45. 医师：是的，有可能，你的C反应蛋白也偏高，接下来我们再做个腹部超声确定一下具体情况。  
46. 患者：好，我配合。  
47. 医师：（腹部超声结果）超声显示你右下腹的阑尾周围有比较典型的炎症表现，像是急性阑尾炎。  
48. 患者：真的啊，那会很严重吗，医生？  
49. 医师：急性阑尾炎如果不治疗可能引起穿孔或脓肿，但是发现及时治疗是很安全的。  
50. 患者：那我需要怎么治疗？"
