"1. 医师：您好，请问您今天来医院的主要原因是什么？  
2. 患者：医生，我这半年经常头痛，最近感觉越来越严重了。  
3. 医师：头痛持续多久了？是什么样的感觉？  
4. 患者：大概有六个月了，是一种钝钝的疼痛，挺烦人的。  
5. 医师：头痛主要集中在哪个部位？  
6. 患者：主要是两边太阳穴这儿。  
7. 医师：头痛有没有伴随其他症状，比如头晕、恶心或呕吐？  
8. 患者：头晕有时候会有，但没有恶心呕吐。  
9. 医师：头痛和体位变化或者压力改变有没有关系？  
10. 患者：应该没啥关系，就是早上起来时感觉特别重。  
11. 医师：有没有发现什么情况下会缓解一点？  
12. 患者：我有时吃点止痛药，开始还有用，但后来不怎么管事了。  
13. 医师：平时血压怎么样？有高血压的记录吗？  
14. 患者：没有医生说我高血压，但以前体检好像说过血压有点高，我也没太在意。  
15. 医师：有没有体重变化、食欲下降或者觉得特别没力气的情况？  
16. 患者：都没有，食欲挺好的，体重也没什么变化。  
17. 医师：家里有没有人有高血压或其他慢性病？  
18. 患者：我父母都有高血压，但其他没大毛病。  
19. 医师：好的，看您的记录，今天量过血压了，176/102，这是比较高的水平。  
20. 患者：是挺高的，但我平时也没什么特别的感觉。  
21. 医师：好的，请问平常有没有感觉心慌、心跳加速或者胸痛？  
22. 患者：没有特别严重的，偶尔会感到心跳快。  
23. 医师：最近有没有手脚浮肿的情况？  
24. 患者：没有，手脚都正常。  
25. 医师：平时饮食习惯怎么样，盐吃得多吗？  
26. 患者：还好吧，我喜欢口味清淡点的菜。  
27. 医师：有没有特别爱喝咖啡或者吃巧克力？  
28. 患者：偶尔喝点咖啡，但不常喝。  
29. 医师：晚上睡眠怎么样？睡得好不好？  
30. 患者：还行，就是头痛的时候会睡不太好。
31. 医师：您有没有注意到尿量的变化，比如比以前多或者少？  
32. 患者：没有，尿量好像正常。  
33. 医师：在血液化验中发现您的血钾比较低，这会引起一些头痛和乏力的症状，您以往查过电解质吗？  
34. 患者：没有特别查过，就是体检的时候抽过血。  
35. 医师：这段时间有没有特别的精神压力或者情绪问题？  
36. 患者：没有什么特别的，就是日子比较忙。  
37. 医师：您早晨起床会不会有头晕或者觉得站起来的时候视线发黑？  
38. 患者：偶尔会头晕，但没有视线发黑的情况。  
39. 医师：您有没有服用过一些特别的药物，比如利尿的药物？  
40. 患者：没有，我平时很少吃药。  
41. 医师：咱们做过检查，发现您右侧肾上腺有一个小结节，这可能和您的症状有关。  
42. 患者：肾上腺有结节？这是什么原因呢？  
43. 医师：它可能分泌了过多的激素，影响了您的血压和电解质平衡。  
44. 患者：会不会有危险？  
45. 医师：这种情况一般还是可控的，目前来看比较像是单侧肾上腺的良性腺瘤。  
46. 患者：需要手术吗？  
47. 医师：是的，手术可以完整地解决问题，您的症状也会有明显改善。  
48. 患者：术后我的血压和头痛会好吗？  
49. 医师：术后大部分患者血压和头痛都会好转，您也需要进一步定期监测。  
50. 患者：好的，谢谢医生，我愿意接受治疗。"
