"1. 医师：请问您今天哪里感觉不舒服？  
2. 患者：右上腹很痛，痛了一天了，还觉得恶心。  
3. 医师：这种疼痛是一直有，还是时而加重？  
4. 患者：一直都有的，发作时疼得更厉害。  
5. 医师：疼痛会放射到身体的其他地方吗，比如背部或者肩部？  
6. 患者：会的，疼的时候感觉到右肩背部也一起疼。  
7. 医师：发作有伴随其他不适吗，比如呕吐或发热？  
8. 患者：有恶心，没有呕吐，但感觉有点发烧。  
9. 医师：疼痛和吃东西有没有关系？  
10. 患者：昨天吃了高脂肪的东西后就开始疼。  
11. 医师：之前有没有类似的疼痛发生过？  
12. 患者：之前有过几次右上腹痛，但没有这次这么严重。  
13. 医师：您以前有没有检查过胆囊或者肝胆方面的问题？  
14. 患者：之前做过检查，说有胆囊炎，但没有查出结石。  
15. 医师：您有黄疸的表现吗，比如皮肤或眼睛发黄？  
16. 患者：没有注意过，我感觉没有发黄。  
17. 医师：有没有尝试什么方法缓解疼痛？  
18. 患者：只是躺着休息，没有吃药。  
19. 医师：平时饮食习惯怎么样？  
20. 患者：还行吧，一般是清淡的，但偶尔会吃些油腻的东西。  
21. 医师：您平时喝酒吗？吸烟吗？  
22. 患者：偶尔喝点酒，不抽烟。  
23. 医师：家族里有人得过胆囊或胆道方面的病吗？  
24. 患者：没有听说过。  
25. 医师：您的体温确实有点高，有其他发热相关的症状，比如寒战吗？  
26. 患者：没有，就是感觉发热。  
27. 医师：最近有没有腹泻或者便秘？  
28. 患者：没有。  
29. 医师：您有没有慢性病，比如高血压、糖尿病？  
30. 患者：以前查过，没有说有这些病。  
31. 医师：您的疼痛会随着体位变化而改变吗？  
32. 患者：不会，不管怎么躺着都疼。  
33. 医师：有没有感觉肚子鼓胀或者不舒服？  
34. 患者：没有，也没胃胀气。  
35. 医师：现在右上腹疼痛的位置可以让我按压一下吗？  
36. 患者：可以，您轻点按吧，那里很痛。  
37. 医师：（按压患者右上腹）您这里疼吗？  
38. 患者：很疼，特别是您按到的那个点。  
39. 医师：按压的时候有没有感觉呼吸不能继续？  
40. 患者：有，好像吸气时更疼。  
41. 医师：好的，看起来是有些发热和压痛反应。您最近体重有没有明显变化？  
42. 患者：没有特别注意，好像没瘦也没胖。  
43. 医师：您有高脂饮食、过量油腻食物后不适的经历吗？  
44. 患者：好像以前偶尔吃完油腻的东西会不舒服。  
45. 医师：知道有胆囊炎后，这些年注意过饮食控制吗？  
46. 患者：有注意一些，但偶尔还是会吃点油大的。  
47. 医师：您最近检查过肝功能或者做过腹部超声吗？  
48. 患者：没有，挺久没检查了。  
49. 医师：我观察您的症状和查体结果，综合考虑是胆囊问题，可能是与胆结石相关的急性胆囊炎。  
50. 患者：啊，是胆结石吗？怎么样治疗？  "
