"1. 医师：你好，请问今天来医院是因为什么不舒服呢？  
2. 患者：医生，我最近总是突然觉得心跳得特别快，胸口很不舒服，还有点喘不过气来，好像快要死了一样。  
3. 医师：这些症状持续多久了？是从什么时候开始的？  
4. 患者：大概有两个月了，开始的时候就是突然发作的，每次几分钟到二十分钟不等。  
5. 医师：你能描述一下具体的感觉吗？比如胸口的不舒服是什么样的？  
6. 患者：胸口就像被什么压住一样，很紧，很难受。心跳得特别快，呼吸也急促。  
7. 医师：发作的时候有没有其他的症状呢？  
8. 患者：有啊，我会出很多汗，有点头晕、恶心，手也会发抖。  
9. 医师：这些症状一般是在什么样的情况下发生的？  
10. 患者：没有特别的情况，就是突然就来了，没有前兆。  
11. 医师：每次发作后你会怎么感觉？  
12. 患者：很害怕，总是担心会不会再发生，真的很让人紧张。  
13. 医师：发作频率怎么样？比如这一周内，你大概发作了几次？  
14. 患者：最近好像多了一点。这周有三次吧，有时候晚上也会突然发作。  
15. 医师：晚上发作的时候，会不会影响你的睡眠？  
16. 患者：会啊，我常常被吓醒，然后就很难再睡着了。  
17. 医师：平时在日常生活中有没有因为这些症状而感到难以应付？  
18. 患者：有的。我现在很怕一个人出门，怕发作的时候没人帮我。  
19. 医师：你平常的工作或者学习有没有受到影响？  
20. 患者：有影响，我总是坐不住，觉得心神不宁，做事情也不专心了。  
21. 医师：你之前有没有类似的情况或者其他慢性疾病病史？  
22. 患者：没有，我之前身体一直挺好的，没有生过什么大病。  
23. 医师：家族中有没有人有心脏病、高血压或者糖尿病之类的疾病？  
24. 患者：没有，我们家人都很健康。  
25. 医师：这些症状发生后，有没有尝试用什么办法缓解？比如吃药或者改变姿势？  
26. 患者：没有用药，就是坐下来深呼吸，感觉有时候缓解了一点，不过还是很难受。  
27. 医师：最近有没有遇到什么特别让你焦虑或者难过的事？  
28. 患者：没什么特别的，就是生活压力有点大，但也不至于天天想这些。  
29. 医师：发作的时候有没有感到心跳很剧烈，或者听到明显的心跳声音？  
30. 患者：有，每次感觉心跳得特别快，都能清楚地感觉到。  
31. 医师：除了发作时的不适，平时有没有胸痛？  
32. 患者：没有，平时的胸口不痛，只有发作才会紧。  
33. 医师：有没有觉得呼吸的时候胸口会痛，或者像有什么东西压着？  
34. 患者：没有胸痛，就是发作的时候觉得喘不过气来。  
35. 医师：你有没有发现某些食物、饮料或者生活习惯会加重这些症状？  
36. 患者：没有，我很少喝咖啡或者茶，饮食也挺普通的。  
37. 医师：你吸烟或者喝酒吗？  
38. 患者：不喝酒，也不吸烟。  
39. 医师：有没有同时出现发热、寒战或者全身乏力的情况？  
40. 患者：没有，就只是突然的那些症状。  
41. 医师：这些症状如果没有发生，你一天的身体状况如何？  
42. 患者：还行，没有什么特别不舒服的地方。  
43. 医师：你最近有没有体重的明显变化？  
44. 患者：没有吧，体重一直都很正常。  
45. 医师：你觉得这些发作的症状对你的生活造成了多大影响？  
46. 患者：很大影响，我现在都快不敢出门了，真的很怕再发作。  
47. 医师：你有没有尝试寻求心理咨询或者其他专业帮助？  
48. 患者：还没有，这是我第一次找医生。  
49. 医师：好的，听起来你的情况可能与惊恐发作有关，这是一种心理相关的疾病，但不是器质性病变。  
50. 患者：真的吗？所以我的心脏没有问题吗？"
