"1. 医师：您好，请问您今天来看诊是因为什么不舒服呢？  
2. 患者：医生，我的手和脚疼了好几个月了，而且还开始长溃疡了。  
3. 医师：哦，从什么时候开始的？具体有哪些症状呢？  
4. 患者：大概是6个月前吧，刚开始就是冬天的时候，手指和脚趾又麻又刺痛。  
5. 医师：这些症状会一直持续，还是偶尔发作？  
6. 患者：一开始是间歇性的，但后来就越来越厉害了，特别是天冷的时候很严重。  
7. 医师：疼痛的时候，手指或者脚趾有没有颜色的改变？  
8. 患者：有的，会先变白，然后变青紫，最后变红肿。  
9. 医师：这些改变是经常发生吗？还是只有在接触冷的东西或者天气冷的时候？  
10. 患者：一般是冷的时候比较明显，有时候就算是吹冷风也会这样。  
11. 医师：除了颜色的改变和疼痛，您刚提到溃疡，具体是什么样子的？  
12. 患者：我的手指和脚趾尖上慢慢长了些小伤口，特别疼，看起来边缘很清楚。  
13. 医师：这些伤口多久前开始出现的？  
14. 患者：差不多是两个月前吧，最开始是手指有，后来脚趾也有了。  
15. 医师：伤口会流脓或者发炎吗？  
16. 患者：没有流脓，看着也没红肿，就是特别疼。  
17. 医师：那么手或者脚会觉得冷吗？  
18. 患者：是的，即使不在冷的环境里，也经常觉得冰凉。  
19. 医师：这种症状之前有发生过吗？  
20. 患者：没有，以前从来没有过。  
21. 医师：听起来这些症状影响了您的日常生活，对吗？  
22. 患者：对的，尤其是天气寒冷时，疼得晚上都睡不好觉。  
23. 医师：您有其他慢性疾病的病史吗？比如糖尿病、高血压？  
24. 患者：没有，我一向身体还挺好的。  
25. 医师：您的家人中有没有谁也有类似的问题，比如手脚容易发冷、疼痛？  
26. 患者：没有，我们家人都没这个问题。  
27. 医师：平时您工作或者生活情况如何？经常接触寒冷环境吗？  
28. 患者：我是办公室文员，平时很少出门，但是我抽烟抽得比较多。  
29. 医师：明白了，您每天抽多少烟呢？  
30. 患者：大概一包左右吧，有时候多一点。  
31. 医师：这是个重要信息，吸烟可能会加重您这种末梢血管的问题。  
32. 患者：真的啊？我没想到抽烟也会影响这些。  
33. 医师：是的，尤其是像您现在的这种症状，吸烟是一个重要的因素。  
34. 患者：那如果戒烟的话，会好一些吗？  
35. 医师：戒烟非常重要，它会显著改善您的症状，也有助于伤口愈合。  
36. 患者：好，我一定试着戒烟。  
37. 医师：在我们进一步检查前，我再问几个相关的问题，您的手和脚有肿胀的迹象吗？  
38. 患者：外观看起来还好，就是凉，不过伤口周围好像有点肿。  
39. 医师：您感觉最近体重有没有明显变化？  
40. 患者：没有，平时吃喝正常，也没怎么瘦或者胖。  
41. 医师：其他地方，比如关节或者皮肤，有没有类似的问题？  
42. 患者：没有，只有手脚疼得厉害。  
43. 医师：好的，我已经了解了一些重要信息，我们会安排一些查体和辅助检查。  
44. 患者：医生，能治好吗？  
45. 医师：根据您的情况，我有初步的怀疑，等检查结果出来后我们再确定。  
46. 患者：谢谢您！  
47. 医师：别客气，刚才在检查中也发现您的手脚末端动脉脉搏减弱，进一步的血管检查会帮助明确病因。  
48. 医师：通过血管造影检查，我们发现您的远端小动脉有跳跃性狭窄，这种表现常见于一种叫闭塞性血栓性血管炎的疾病。  
49. 患者：闭塞性血栓性血管炎是什么？  
50. 医师：简单来说，这种病是由于小动脉炎症和闭塞引起的，吸烟是主要诱因之一。"
