"1. 医师：你好，请问今天是因为什么情况来看诊的？  
2. 患者：医生，我进食时总觉得喉咙有点堵，还会呕吐。  
3. 医师：这种情况持续多久了？  
4. 患者：大概有八个月了，最近更加严重了。  
5. 医师：主要是吃什么食物时容易堵住呢？  
6. 患者：吃固体食物的时候比较严重，有时候喝汤或者稀的也会堵。  
7. 医师：那吃完东西之后，有感觉胸骨后面胀吗？  
8. 患者：是的，常常觉得胀得不舒服。  
9. 医师：有没有伴随恶心或反酸的感觉？  
10. 患者：有恶心，有时候还有一点食物反上来。  
11. 医师：那有没有烧心的症状？就是胸口像火烧一样的感觉。  
12. 患者：这个倒没有。  
13. 医师：最近体重有没有缩水或其他异常？  
14. 患者：最近一个月体重掉了三公斤，但我没特意减肥。  
15. 医师：好的，那晚上睡觉会不会出汗很多，或者有发烧吗？  
16. 患者：没有，我睡觉挺好的，也没发烧。  
17. 医师：有没有咳嗽或者最近觉得呼吸困难？  
18. 患者：没有这样的情况。  
19. 医师：请问你平常有没有其他慢性病史？  
20. 患者：没有特殊病史，就是对花粉过敏。  
21. 医师：除了花粉症之外，有在服用长期药物吗？  
22. 患者：没有。  
23. 医师：以前有做过胃肠手术吗？  
24. 患者：没有，从来没有做过手术。  
25. 医师：家里有人有胃肠方面的疾病吗？  
26. 患者：没有，我家里人都挺健康的。  
27. 医师：最近有没有感觉自己心慌、手抖或觉得非常疲惫？  
28. 患者：这些症状也没有。  
29. 医师：那现在我先检查一下你的身体状况，请你稍等。  
30. 患者：好的，医生。  
31. 医师：从查体来看，外表和神经系统没什么异常，现在体型稍微偏瘦一点。  
32. 患者：最近吃东西不太方便，确实瘦了些。  
33. 医师：实验室检查显示血常规和功能都正常，没有炎症迹象。  
34. 患者：是的，我没有特别感觉有炎症。  
35. 医师：为进一步明确您的情况，我们做了一个钡餐检查，发现您的食管远端显著扩张。  
36. 患者：扩张？这是什么意思啊？  
37. 医师：就是您的食管下段蠕动减弱，还有“鸟嘴状”表现。  
38. 患者：“鸟嘴状”？这又是什么意思？  
39. 医师：是一种典型的结构改变，提示食管下部收缩不完全。  
40. 患者：哎呀，这会严重吗？  
41. 医师：还需要结合胃镜及测压检查，胃镜显示了食管狭窄，但没有肿瘤或溃疡。  
42. 患者：那就好，我有点担心是不是肿瘤。  
43. 医师：我们通过食管测压，发现下食管括约肌压力增高，确认是蠕动功能问题。  
44. 患者：哦，原来是这样，那这种情况叫什么病呢？  
45. 医师：根据检查结果和您的病史，我们诊断您为“食管失弛缓症”。  
46. 患者：这是什么病，会不会一直这样啊？  
47. 医师：是一种食管蠕动障碍引起的阻塞性症状，我们可以通过药物和手术来缓解。  
48. 患者：好的，那我听您的方案，希望能早点改善症状！  
49. 医师：没问题，我们先从药物入手，开始使用硝苯地平来缓解症状。  
50. 患者：好，谢谢医生！"
