"1. 医师：你好，请问最近身体哪里不舒服？  
2. 患者：医生，我这两周一直发烧，还有嗓子特别疼，脖子这里也肿了起来。  
3. 医师：发烧从什么时候开始的？  
4. 患者：大概就是两周前，没有什么特别的原因就开始发热了。  
5. 医师：发烧的时候体温最高到多少？  
6. 患者：差不多39.5℃，而且一直烧着，退烧药也不太管用。  
7. 医师：发烧的时候有没有觉得特别冷或者打冷战？  
8. 患者：有点怕冷，但是没有打冷战。  
9. 医师：嗓子疼是和发烧同时开始的吗？  
10. 患者：对，差不多同时开始，吞口水的时候疼得更厉害。  
11. 医师：吃了止痛药以后嗓子疼有好一些吗？  
12. 患者：嗯，稍微能好点，但也没完全缓解。  
13. 医师：脖子肿块是从什么时候发现的？  
14. 患者：也是两周前，感觉是发烧的时候一起出现的。  
15. 医师：肿块是一下就很大，还是慢慢变大的？  
16. 患者：最开始不大，但后来慢慢变得挺显眼了。  
17. 医师：按压脖子上的肿块会疼吗？  
18. 患者：会，按着特别痛，但是表面没有红肿。  
19. 医师：最近有没有出现皮疹或者咳嗽、喘不过气？  
20. 患者：没有，都没有这些症状。  
21. 医师：有没有腹痛、呕吐或者拉肚子？  
22. 患者：也没有，肚子感觉正常。  
23. 医师：最近有没有接触过生病的人，或者去过什么特殊的地方？  
24. 患者：没有特殊接触，也没去过什么危险的地方。  
25. 医师：既往有没有什么重大疾病史或者手术史？  
26. 患者：没有，我之前身体一直挺健康的。  
27. 医师：感觉发烧以后身体有没有特别累？  
28. 患者：是的，全身无力，稍微动一下都觉得累。  
29. 医师：有没有食欲下降或者体重变化？  
30. 患者：胃口不好，但这两周体重变化不大。  
31. 医师：小时候疫苗的接种有没有异常，最近几年注射过特殊疫苗吗？  
32. 患者：疫苗接种应该都是正常的，也没打过什么特别的疫苗。  
33. 医师：有没有药物过敏史？  
34. 患者：没有，我对药物都不过敏。  
35. 医师：家里人最近身体都正常吗？  
36. 患者：都正常，没有生病的。  
37. 医师：发烧以后有没有去做过其他的检查？  
38. 患者：没有，我挺了几天，觉得好不了才决定来就诊的。  
39. 医师：最近喝水多还是少？有没有觉得口渴？  
40. 患者：喝水不算多，但也不算口渴。  
41. 医师：平常睡眠怎么样？发病这两周睡得好吗？  
42. 患者：一直睡不好，总是觉得不舒服，再加上喉咙疼。  
43. 医师：你的脖子摸起来是双侧都肿吗？  
44. 患者：对，两边都有肿块。  
45. 医师：有没有去拍胸片或者抽血检查过？  
46. 患者：没有，都没做过。  
47. 医师：听你描述的情况，有点像是传染性的疾病。有没有接触过家畜或者宠物？  
48. 患者：没有，我们家也没有养宠物。  
49. 医师：刚才检查发现你的咽喉有明显充血，扁桃体肿大并有分泌物，触碰时易出血。你对这个情况有没有注意到？  
50. 患者：是的，我咽喉痛特别明显，也能感觉里面像有东西附着着。  
医师：根据你的病史和检查结果，我初步考虑你患有传染性单核细胞增多症。这是一种由EB病毒感染引起的疾病，以发热、咽喉痛和淋巴结肿大为主要表现。我们会为你安排对症治疗，包括退热和止痛，同时保护肝脏，进一步观察你的恢复情况。"
