"1. 医师：您好，最近身体有什么不舒服吗？  
2. 患者：医生，我最近2个月胃有点不舒服，而且老是打嗝。  
3. 医师：能具体说说是哪种不舒服吗？是痛还是其他感觉？  
4. 患者：不是痛，就是觉得胃有点烧灼感，有时候不消化一样。  
5. 医师：这种不适感是在什么时候特别明显呢？  
6. 患者：一般是吃完饭后比较明显，平时还好一点。  
7. 医师：伴有反酸或者胃口不好吗？  
8. 患者：没有，就是嗳气多一点，胃口一般也还可以。  
9. 医师：会觉得恶心、呕吐或者体重有变化吗？  
10. 患者：没有，体重也没有变化。  
11. 医师：最近有没有吃过什么特殊的食物，或者经常吃辛辣食品吗？  
12. 患者：没有特别的，我平时吃得还挺正常的。  
13. 医师：夜晚躺下的时候会不会感到不适加重？  
14. 患者：好像有一点，有时候饭后躺一下就更容易打嗝。  
15. 医师：那么，这种情况影响你的睡眠了吗？  
16. 患者：没有，睡觉还可以，就是饭后不舒服。  
17. 医师：之前你自己有没有用过什么药物来缓解症状？  
18. 患者：有，我试着吃过一点抗酸剂，但是没有什么效果。  
19. 医师：你以前有没有类似的症状？  
20. 患者：没有，以前都没怎么出现这种情况。  
21. 医师：血糖控制得怎么样？平时有定期测血糖吗？  
22. 患者：有，我吃二甲双胍控制血糖，上次检查医生说还挺稳定的。  
23. 医师：家里有没有人有胃病史或者胃癌之类的病？  
24. 患者：没有，家族里好像没有胃部方面的疾病。  
25. 医师：好的，除了胃部不舒服，其他地方有没有什么记得不舒服的？  
26. 患者：没有，我平时身体还算挺健康的。  
27. 医师：最近情绪怎么样？工作压力大吗？  
28. 患者：还好吧，压力有一点，但也不是特别大。  
29. 医师：你的不适有没有严重到影响日常生活或者工作？  
30. 患者：没有，就是每次吃饭后容易发作，不太舒服。  
31. 医师：好的，那你有没有到其他地方做过检查呢？  
32. 患者：没有来这之前没做过检查，就想着过来看看。  
33. 医师：我们刚刚做完的胃镜显示没有急性炎症和溃疡，黏膜有些充血，你了解吗？  
34. 患者：是的，结果我还不是很清楚。  
35. 医师：幽门螺杆菌的结果也显示是阴性，这也是一项重要的排除。  
36. 患者：那就是说不是细菌感染引起的？  
37. 医师：是的，结合你的症状和检查，我怀疑是功能性消化不良的一种情况。  
38. 患者：功能性消化不良？这是什么病啊？  
39. 医师：简单来说，就是没有器质性病变引起的消化道不适，例如你这样饭后不适和嗳气增多。  
40. 患者：哦，那这会严重吗？  
41. 医师：通常这不是严重的问题，但会影响生活，我们可以通过药物和生活习惯来缓解。  
42. 患者：吃药能好吗？  
43. 医师：会的，我会开一些胃动力药和抑酸药，比如Pantoprazole和Mosapride，这些都有助于缓解症状。  
44. 患者：那生活上需要注意什么吗？  
45. 医师：你需要少量多餐，避免辛辣刺激的食物，并减少饭后躺卧的时间。  
46. 患者：好的，我会注意的。  
47. 医师：另外，记得继续监测血糖，糖尿病控制是很重要的。  
48. 患者：明白，我会继续吃二甲双胍。  
49. 医师：好，那我们先从这些措施开始治疗，一个月后回来复查一下效果怎么样。  
50. 患者：好的，谢谢医生！"
