"1. 医师：您好，请告诉我是什么让您今天来就诊呢？  
2. 患者：医生，我最近右边头很痛，特别厉害，还觉得恶心，光线也让我特别难受。  
3. 医师：请问这种头痛什么时候开始的？  
4. 患者：大概三天前开始的，一直到现在都没好。  
5. 医师：头痛是持续性的吗，还是会间断出现？  
6. 患者：是持续性的，一直没缓解。  
7. 医师：疼痛强度如何，会影响到您的日常生活吗？  
8. 患者：很厉害，我都快受不了了，根本没法正常做事情。  
9. 医师：疼痛主要是在哪个部位？  
10. 患者：是在右边额头和太阳穴附近，非常痛。  
11. 医师：您能描述一下头痛的性质吗，比如是钝痛、刀割一样的痛，还是别的感觉？  
12. 患者：就是一种跳动性的疼，好像血管在跳那种感觉。  
13. 医师：疼痛在什么情况下会加重，或者有什么能让它缓解的吗？  
14. 患者：光线强的时候会更痛，但是我试过服布洛芬，感觉没什么效果。  
15. 医师：除了疼痛，是否还有其他的不适，比如恶心、呕吐？  
16. 患者：有恶心，但没有呕吐。  
17. 医师：视力方面有没有异常，比如视力模糊、看到闪光或者黑影？  
18. 患者：没有，视力挺正常的。  
19. 医师：您以前有过类似的疼痛吗？  
20. 患者：有过，以前也会有这样的头痛，但这次特别严重。  
21. 医师：以前的头痛有什么规律吗，比如发作频率和持续时间？  
22. 患者：通常每个月有两次左右，每次大概持续一到三天。  
23. 医师：那是什么情况会诱发这些头痛？  
24. 患者：一般是压力大的时候或者熬夜后特别容易发作。  
25. 医师：您家里人有没有类似的头痛病史？  
26. 患者：有的，我妈妈和外婆她们以前也经常头痛。  
27. 医师：这次头痛跟以前比，有什么不同的地方吗？  
28. 患者：主要是这次更严重，而且感觉吃止痛药也不管用了。  
29. 医师：您最近有没有感冒、发热或者别的不适症状？  
30. 患者：没有，就是头痛让我睡不好觉。  
31. 医师：好的，我会再帮您详细查体。您的头痛期间有没有感觉脖子僵硬或者头皮有压痛点？  
32. 患者：都没有，就是头里面痛。  
33. 医师：（检查完成后）您的神经系统查体一切正常，没有发现其他异常。  
34. 医师：最近有做过头部相关的影像检查吗？  
35. 患者：有的，前几天做了脑部的MRI和MRA，医生说一切正常。  
36. 医师：很好，那血液检查和腰穿有异常吗？  
37. 患者：没有啊，医生说检查结果都正常。  
38. 医师：看来目前的检查结果是没有发现头痛的器质性病因。  
39. 医师：结合您既往的病史和家族史，我怀疑您这是偏头痛的一种。  
40. 患者：偏头痛？这是什么？  
41. 医师：偏头痛是一种常见的头痛类型，多见于年轻女性，和遗传及生活习惯有关。  
42. 患者：那这个会严重吗？会不会一直这样？  
43. 医师：不会的，通过正确的治疗和生活方式调整，可以控制和预防发作。  
44. 患者：那我该怎么治疗呢？  
45. 医师：我建议您服用一种叫苏美曲坦（sumatriptan）的药物，可以快速缓解头痛。  
46. 患者：这个药真的能管用吗？  
47. 医师：是的，这是一线治疗偏头痛的药物，很多患者用后效果很好。  
48. 医师：另外，考虑到您发作较频繁，我也会为您开丙戊酸钠(valproate sodium)作为预防药物，每天服用以减少发作次数。  
49. 患者：这样听起来不错，谢谢您！  
50. 医师：不客气，同时您需要保持规律的作息，避免压力过大，减少诱因，这样效果会更好。"
