"1. 医师：您好，请问今天是因为什么不舒服来看诊呢？  
2. 患者：医生，我右下腹痛了一天了。  
3. 医师：能详细说一下什么时候开始痛的吗？  
4. 患者：大概是昨天早上，没有什么特别原因就开始疼了。  
5. 医师：疼痛是一直持续的吗？有没有什么加重的情况？  
6. 患者：是一直在疼，走路和咳嗽时更痛。  
7. 医师：疼痛是隐隐的还是剧烈的那种？  
8. 患者：一开始是隐隐痛，现在已经有些加重了。  
9. 医师：痛的时候伴随有什么其他不适吗，比如恶心、呕吐？  
10. 患者：是有恶心，但没有吐。  
11. 医师：有没有腹泻或者便秘？  
12. 患者：没有。  
13. 医师：发烧了吗？  
14. 患者：我没怎么量体温，但摸着感觉有点热。  
15. 医师：小便有没有尿频、尿急或者痛的情况？  
16. 患者：没有，一切正常。  
17. 医师：之前有过类似的症状吗？  
18. 患者：没有，这次是第一次。  
19. 医师：有慢性病史比如糖尿病、高血压之类的吗？  
20. 患者：没有，我平时身体挺好的。  
21. 医师：最近有没有吃过什么特殊的药物？  
22. 患者：没有用药。  
23. 医师：有家族里有人得过什么胃肠道相关的疾病吗？  
24. 患者：没有听说过，我们家人都挺健康的。  
25. 医师：平时饮食习惯怎么样？有特别爱吃的或不爱吃的吗？  
26. 患者：还算正常吧，没特别偏好，平时喜欢清淡的。  
27. 医师：最近有没有剧烈运动或生活规律上的变化？  
28. 患者：没有，最近的生活一直挺平稳的。  
29. 医师：好的，我来给您检查一下肚子，请您躺下。  
30. 患者：好的。  
31. 医师：按到这里会疼吗？  
32. 患者：哎，疼，就是右下腹这里。  
33. 医师：有反跳痛，就是松开手的时候更疼吗？  
34. 患者：对，松的时候比按着还疼。  
35. 医师：有其他地方也疼吗？  
36. 患者：没有，主要就是这块疼。  
37. 医师：好的，从触诊来看，您的疼痛应该集中在右下腹。  
38. 患者：是的。  
39. 医师：我看您的面色有点疲惫，昨晚休息还好吗？  
40. 患者：有点不好睡，疼得有点厉害。  
41. 医师：最近工作或者生活遇到什么压力吗？  
42. 患者：没有特别的，平时也比较轻松的。  
43. 医师：我建议先抽血化验一下，另外做一个腹部彩超检查，您看可以吗？  
44. 患者：当然可以，听您的安排。  
45. 医师：抽血化验结果显示白细胞和中性粒细胞都升高了，CRP也有点高。  
46. 患者：那是说明有炎症吗？  
47. 医师：是的，很可能是身体某个地方的炎症。您的彩超结果显示阑尾肿大且周围有炎症表现，怀疑是急性阑尾炎。  
48. 患者：阑尾炎吗？需要怎么处理呢？  
49. 医师：是的，急性阑尾炎，按照您目前的情况，我们建议住院治疗，可能需要手术切除阑尾。  
50. 患者：那就听医生的安排吧，尽快治疗。"
