"1. 医师：您好，请问您最近身体哪里不舒服吗？  
2. 患者：医生，我最近咳嗽特别厉害，痰也多了，呼吸有点困难。  
3. 医师：这种情况持续了多久？  
4. 患者：咳嗽本来一直都有，差不多二十年了吧，但最近三周变得特别严重。  
5. 医师：这三周里，除了咳嗽变重之外，还有什么其他症状吗？  
6. 患者：痰比以前多了，颜色是黄色的，有点难咳出来，呼吸也更费劲了。  
7. 医师：有没有发烧或者咯血的情况呢？  
8. 患者：没有发烧，也没有咯血。  
9. 医师：痰的颜色一直是黄的，还是有过其他的变化？  
10. 患者：最近才变成黄的，以前多是白色的或者透明的。  
11. 医师：过去的二十年里，咳嗽和痰的情况有没有什么规律，比如在某个季节更严重？  
12. 患者：冬天和春天总会加重，天冷的时候咳嗽特别难受。  
13. 医师：您每次加重一般能持续多久时间？  
14. 患者：可能一两个月吧，然后会慢慢缓和。  
15. 医师：最近这次症状加重之前，有没有经历过什么特别的事情，比如感冒、外伤或者生活环境变化？  
16. 患者：没有感冒，但最近天气特别冷，估计也和这个有关吧。  
17. 医师：有没有晚上睡觉觉得呼吸特别不舒服或者胸闷？  
18. 患者：有啊，最近晚上都没办法平躺着睡，呼吸会很困难。  
19. 医师：您之前有没有类似的不能平卧的情况？  
20. 患者：之前活动多了会气喘，但没有这么严重，也不用坐着睡。  
21. 医师：您曾经有过气胸的病史对吗？能说说是什么时候发生的吗？  
22. 患者：是的大概五六年前发生过一次，后来好了。  
23. 医师：平时接触过什么对肺部有害的东西吗，比如烟雾、粉尘？  
24. 患者：我以前在机械车间里工作，粉尘比较多，但没吸烟的习惯。  
25. 医师：这种粉尘接触了多久？  
26. 患者：差不多三十多年吧。  
27. 医师：您的呼吸问题是在这段时间里逐渐出现的吗？  
28. 患者：是的，早些年只是咳嗽，后来慢慢走路多了会气喘，现在明显更严重了。  
29. 医师：您的家人有没有类似的呼吸道疾病或者肺病病史？  
30. 患者：没有，家里人身体都挺好的。  
31. 医师：最近有没有感到乏力、食欲下降或者体重变化？  
32. 患者：最近感觉更累了，吃得少了，体重瘦了一点。  
33. 医师：平时活动，比如上楼或者简单的家务，会不会让您特别喘？  
34. 患者：是的，现在连拿东西都觉得气不够用。  
35. 医师：您有用药物治疗过这些症状吗？  
36. 患者：以前喝过咳嗽糖浆，但没什么明显效果，最近也没用其他药。  
37. 医师：有定期做体检或者查肺功能吗？  
38. 患者：没有医生提醒过，我也没主动去检查。  
39. 医师：平时呼吸问题有没有突发性的加重，比如突然喘不上气？  
40. 患者：最近倒是没有，就是越来越难受。  
41. 医师：除了机械车间的粉尘外，工作环境里还有别的刺激性气体吗？  
42. 患者：偶尔会有切割或者焊接时的烟雾，但不是每天都有。  
43. 医师：您觉得最近的加重和心情压力有关系吗？  
44. 患者：不知道，自己平时心情还可以吧。  
45. 医师：有没有尝试减少接触粉尘，比如戴口罩或者换了工作？  
46. 患者：戴过一段时间口罩，但工作需要近距离操作，效果不大。  
47. 医师：咳嗽的时候会不会伴胸痛？  
48. 患者：不会，但是咳得多的时候喉咙会觉得很干。  
49. 医师：夜里咳嗽会把您吵醒吗？  
50. 患者：是的，咳得会醒好几次，经常睡不着。
51. 医师：根据您的病史、症状和一些检查，我们诊断您是慢性阻塞性肺疾病急性加重期（COPD急性加重期）。"
