"1. 医师：您好，请问今天主要是什么不适让您来就诊？  
2. 患者：医生，我的脸最近变得特别圆，全身也胖了很多，已经持续了一年多了。  
3. 医师：可以再详细描述一下吗？这些胖主要是集中在哪些部位？  
4. 患者：脸特别圆，脖子也胖了，背后这里堆了很多肉，像个“小山包”。  
5. 医师：您提到的“小山包”是出现在颈后吗？感觉起来硬不硬？  
6. 患者：对，颈后这里堆得很明显，但感觉肉是软的，不是硬块。  
7. 医师：您其他地方也有脂肪堆积的特点吗，比如腹部或四肢？  
8. 患者：肚子也特别大，但手臂和腿好像比以前还细了些。  
9. 医师：您的体重大概增加了多少呢？这个变化从什么时候开始的？  
10. 患者：差不多去年开始，体重大概长了12公斤左右。  
11. 医师：除了体重增加，您有没有感觉到其他身体不适？  
12. 患者：有啊，总是觉得特别累，没力气，皮肤也变薄了，还特别容易出现瘀青。  
13. 医师：皮肤变薄，从哪里可以看出来？有没有什么特殊的变化？  
14. 患者：肚子和腿上有很深的紫红色的纹，其他地方也容易一碰就青紫。  
15. 医师：这些紫纹是一开始就有，还是后来才出现的？  
16. 患者：开始大概只有一点，后来越来越多，颜色也更深了。  
17. 医师：好的，有没有其他的症状，比如骨骼或者关节方面的问题呢？  
18. 患者：经常觉得骨头和关节痛，还有口腔老是溃疡。  
19. 医师：这些疼痛和溃疡持续了多久？有没有特别频繁？  
20. 患者：大概半年了，疼痛好像越来越频繁，溃疡一好了又来。  
21. 医师：有没有测过血压或血糖？平时这些情况怎么样？  
22. 患者：血压最近总是高，糖医生说控制得不好，已经打胰岛素了。  
23. 医师：明白了，您现在每天吃饭和睡眠正常吗？  
24. 患者：睡得不是太好，经常比较焦虑，吃倒是比以前还多些。  
25. 医师：好的，您家里有类似这样的家族病史吗？比如糖尿病、高血压或肾上腺方面的问题？  
26. 患者：没有特别知道的，我们家人都挺健康的。  
27. 医师：您有没有服用过什么药物，比如类固醇之类的？  
28. 患者：没有，我很少吃药，没听说过您说的这个东西。  
29. 医师：那您工作是不是压力大？平时有接触什么化学品或者特殊的环境吗？  
30. 患者：工作还算正常，没什么特别的危险接触。  
31. 医师：在体力活动方面，您有没有觉得最近比以前更差？比如走路或者提东西？  
32. 患者：是啊，没力气，总觉得干点活就特别累。  
33. 医师：这段时间情绪上有没有特别低落或者焦虑的情况？  
34. 患者：有时候会很烦躁，但没特别严重，只是想不明白为啥身体变化这么大。  
35. 医师：了解了，那您生活里有没有特别的重大事件发生？比如换工作或者家庭压力？  
36. 患者：没什么变化，就是身体搞得我很烦。  
37. 医师：好的，谢谢您的配合。接下来我们做了一些化验和检查，我再解释一下结果。  
38. 医师：根据化验，您的血糖和尿糖水平偏高，血液中的皮质醇偏高，还有一些激素指标不正常。  
39. 患者：皮质醇是什么？  
40. 医师：皮质醇是一种由肾上腺分泌的激素，帮助身体应对压力，但过多分泌会导致类似您这样的问题。  
41. 患者：那我为什么会这样？  
42. 医师：进一步的检查发现您的右肾上腺有一个肿块，这可能是引起皮质醇异常分泌的原因。  
43. 患者：肾上腺肿块？是癌吗？  
44. 医师：目前看这个肿块像是良性的腺瘤，不是恶性的癌症，但我们需要通过手术解决它。  
45. 患者：手术能治好吗？可是我还是有点怕。  
46. 医师：绝大多数这样的情况下，手术治疗效果非常好，之后您的血糖、血压和其他症状都会慢慢改善。  
47. 患者：那需要住院多久？有风险吗？  
48. 医师：手术是通过微创方式进行，住院时间不长，风险整体来说较低，我们会全程监护。  
49. 患者：明白了，谢谢医生，我会配合的。  
50. 医师：不客气，这是我们需要做的，您的判断是皮质醇症候群，跟肾上腺腺瘤有关。后续我们会帮您安排好治疗步骤。  "
