"1. 医师：你今天感觉怎么样？什么原因让你来急诊了？  
2. 患者：医生，我最近有些头晕，特别累，还出很多汗，这些问题让我有些担心。  
3. 医师：这些症状什么时候开始的？发生了什么事情？  
4. 患者：就今天下午，我踢完足球后几个小时，就开始觉得有点头晕。  
5. 医师：今天踢足球的环境怎么样？是室内还是在户外？  
6. 患者：是在户外的。天气特别热，太阳很晒。  
7. 医师：你踢了多长时间？有休息过吗？  
8. 患者：差不多踢了三个小时吧，休息的时间不多。  
9. 医师：开始感到不适时，都有哪些具体的表现？  
10. 患者：一开始头有点晕，后来觉得全身没力气，汗也出得特别多。  
11. 医师：你有没有觉得胸闷或者恶心？  
12. 患者：胸闷倒没有，就是一站起来就感觉特别晕。  
13. 医师：你有没有昏倒或者失去意识？  
14. 患者：没有，但站起来的时候很难保持平衡。  
15. 医师：你今天有没有喝足够的水？吃东西了吗？  
16. 患者：喝了点水，但量可能不太多，足球赛前吃了些轻便的东西。  
17. 医师：头晕开始后，有没有试着休息或者喝水？  
18. 患者：有啊，我坐下休息了一会儿，也喝了些水，但是好像不管用。  
19. 医师：发现自己有出很多汗吗？衣服湿透了吗？  
20. 患者：对，背上衣服几乎全湿了，汗流得特别多。  
21. 医师：有没有感觉到冷，或者发热发烫？  
22. 患者：有点冷吧，尤其出汗之后风一吹，感觉挺冷的。  
23. 医师：这段时间你有没有其他生病，比如感冒或发热？  
24. 患者：没有，之前身体一直挺好的。  
25. 医师：你会觉得口干或者非常渴吗？  
26. 患者：口非常干，但喝了点水后也没太缓解。  
27. 医师：你家人或者朋友有没有最近得病，可能是传染病？  
28. 患者：没有，我家人身体都很健康。  
29. 医师：以前有没有长时间运动后也感觉头晕或者疲劳？  
30. 患者：从来没有，踢足球好多年了，身体一直挺好。  
31. 医师：过去有过什么疾病史吗，比如糖尿病或者心脏病？  
32. 患者：没有，我身体一直挺好，也很少生病。  
33. 医师：你是不是每天踢球比较多？有没有注意休息？  
34. 患者：最近训练确实很紧张，但之前没出现过这些问题。  
35. 医师：家里人有没有类似的头晕或者严重出汗的病史？  
36. 患者：没有，我家人健康没太多问题。  
37. 医师：最近几天有没有其他特别的事情，比如睡眠不足或者情绪压力大？  
38. 患者：也没有，作息蛮正常的。  
39. 医师：观察你的检查结果，你的体温有些高，有没有感觉自己比平时更热？  
40. 患者：是有一些，我觉得自己体温升得很高，但同时又觉得冷。  
41. 医师：从运动结束到现在，不适情况有没有好转？  
42. 患者：没有，反而变得更严重了。  
43. 医师：你有没有服用或者喷什么药？  
44. 患者：没有，完全靠休息。  
45. 医师：平时踢球有没有遇到过中暑的队友？  
46. 患者：有看到过，症状好像跟我有点像。  
47. 医师：刚刚的检查提示你血压有点低，可能因为脱水引起。  
48. 患者：原来这样啊，我确实感觉有点虚弱，特别想躺着休息。  
49. 医师：结合你的情况，我怀疑你得了热中症，这是轻症情况。  
50. 患者：是中暑了吗？这会不会很严重？  "
