"1. 医师：您好，请问您今天发生了什么情况？
2. 患者：医生，我这几天特别难受，主要是腹痛，而且皮肤和眼白都发黄了，还发烧。
3. 医师：您的腹痛是哪一部分疼呢？
4. 患者：是右上腹这里，一直在疼，非常剧烈，痛得整个人都没力气。
5. 医师：这种疼痛会不会向其他地方扩散呢？
6. 患者：是的，有时候疼得厉害的时候，好像痛到右肩胛骨那边去了。
7. 医师：您的疼痛是持续的，还是一阵一阵的？
8. 患者：是持续的疼，一直不停。
9. 医师：疼痛开始之前，有吃过什么特殊的食物，或者油腻的饭菜吗？
10. 患者：有啊，三天前跟朋友出去吃饭，点了一些海鲜和烧烤。
11. 医师：除了腹痛以外，您还有其他症状吗？
12. 患者：有恶心、呕吐，尤其是吃东西之后更明显。
13. 医师：呕吐物是什么样子的呢？
14. 患者：就是一些吃下去的食物，有时候带点苦味。
15. 医师：发烧您大概从什么时候开始的？最高体温是多少？
16. 患者：两天前开始的，烧到有38度多，头很晕，人很不舒服。
17. 医师：有没有出现明显的寒战？
18. 患者：有的，特别怕冷，全身抖个不停。
19. 医师：您说最近皮肤和眼睛黄了，是从什么时候开始的？
20. 患者：也是两天前吧，家人也看出来说我脸黄得厉害。
21. 医师：您的大小便有没有什么变化？
22. 患者：小便颜色很黄，像浓茶一样，大便倒是没什么特别的。
23. 医师：在此之前，您有类似的症状出现过吗？
24. 患者：没有，以前身体一直挺好的。
25. 医师：平时有慢性病吗？比如高血压、糖尿病？
26. 患者：没有，血压和血糖都正常。
27. 医师：有没有长期服药？会不会对什么药物过敏？
28. 患者：没有长期吃药，也没有药物过敏。
29. 医师：家族中有没有人有类似的病史，比如肝病或者胆道方面的问题？
30. 患者：没有，家里人身体都挺健康的。
31. 医师：您平时饮食习惯怎么样？喜欢吃什么类型的食物？
32. 患者：平时饮食还算正常，但是挺喜欢吃油炸和烧烤的。
33. 医师：有没有注意到最近体重有没有减轻，食欲怎么样？
34. 患者：没减轻，食欲倒是最近因为不舒服减少了。
35. 医师：您平时饮酒吗？如果喝，喝的量大不大？
36. 患者：偶尔会喝一点啤酒，不多。
37. 医师：您有没有尝试过什么缓解疼痛的方法，比如吃止痛药？
38. 患者：没有，不敢随便吃药，只想着快点来看医生。
39. 医师：好的，我来为您检查一下。您这里有没有压痛？（按压右上腹）
40. 患者：哎呀，这里很痛！
41. 医师：您这边有没有出现反跳痛？（轻轻按压后松开）
42. 患者：没有，就是刚压的时候特别疼。
43. 医师：检查显示您的右上腹墨菲征是阳性的，说明可能与胆囊问题有关。
44. 医师：我们还注意到，您的皮肤和巩膜明显黄染，考虑胆道有问题。
45. 医师：之前的实验室检查已经显示您的肝功能异常，炎症指标也很高。
46. 医师：影像学检查提示胆囊有结石，并且胆管也扩张了，里面有结石。
47. 患者：哦，那到底是什么问题啊？
48. 医师：根据您的症状和检查结果，我们诊断为胆结石伴急性胆管炎。
49. 患者：这会很严重吗？需要怎么治疗呢？
50. 医师：我们会立即进行治疗，让您缓解症状，然后通过内镜取出胆管内的结石。"
