"1. 医师：您好，请问今天来诊是因为什么不适呢？  
2. 患者：医生，我最近右边眼睛周围和太阳穴这里疼得厉害。  
3. 医师：疼痛是从什么时候开始的？  
4. 患者：大概是两周前吧，每天都会发作。  
5. 医师：每天发作几次？每次大概持续多久呢？  
6. 患者：一天大概发作一两次，每次疼大概三四十分钟吧，有时候会到一个小时。  
7. 医师：这种疼痛是什么样的？是钝痛还是刺痛？  
8. 患者：像刀子戳进去了或者被钻子钻一样，特别疼。  
9. 医师：疼痛总是发生在右边眼周和太阳穴吗？  
10. 患者：对的，总是这边，从来没变过。  
11. 医师：发作的时候有没有伴随其他症状？比如流泪或者鼻塞？  
12. 患者：有的，每次都流眼泪，鼻子也塞住了，还会流鼻涕。  
13. 医师：眼睛本身会有其他问题吗，比如觉得模糊或者视力变差？  
14. 患者：没有，眼睛看东西正常，只是发作的时候特别疼。  
15. 医师：那呕吐或者恶心呢？有没有这种感觉？  
16. 患者：有时候会觉得有点恶心，但没吐过。  
17. 医师：发作通常是在什么时候呢？有没有什么特别的诱因？  
18. 患者：很多时候是晚上突然疼起来，好像没有特别诱因。  
19. 医师：你的疼痛程度有多严重？从1到10分，你觉得大概是多少？  
20. 患者：肯定是10分，疼到受不了。  
21. 医师：平时你的健康情况怎么样？  
22. 患者：挺好的，不抽烟不喝酒，也没有其他毛病。  
23. 医师：家里人有没有类似的病史？比如偏头痛或者其他头痛问题？  
24. 患者：没有，家里人都没有头痛的毛病。  
25. 医师：前几天的疼痛是一直维持不变，还是有加重或者缓解？  
26. 患者：每天几乎一样厉害，没有减轻。  
27. 医师：疼痛发作与身体活动有关吗？比如运动后会不会更疼？  
28. 患者：不会，运动好像没什么影响。  
29. 医师：最近心情或者压力怎么样？有没有可能因为情绪影响？  
30. 患者：还好吧，工作和平时差不多，没有特别大的压力。  
31. 医师：发作的时候有没有出现右眼红或者眼睛有其他问题？  
32. 患者：有，眼睛经常会变红，特别是每次发作的时候。  
33. 医师：鼻塞的时候有没有一侧特别严重？  
34. 患者：就是右边特别严重，左边没事。  
35. 医师：我们刚才也查了你的眼睛，看到右眼确实有点结膜充血。发作期间有没有眼睑下垂或者其他异常？  
36. 患者：没有注意过，但应该没有。  
37. 医师：你使用过什么药物吗？有没有试着缓解疼痛？  
38. 患者：没有，不知道该用什么药，每次都只能忍着。  
39. 医师：你提到这些症状是最近两周开始的，在这之前有没有类似的经历？  
40. 患者：没有，以前从来没有过这种疼痛。  
41. 医师：那其他像发烧、感冒或者其他全身症状呢？有没有一起发生过？  
42. 患者：没有，就单单是右边头这一块疼。  
43. 医师：你之前有没有做过头部检查？  
44. 患者：没有，这是头一回。  
45. 医师：我们现在有了一些线索，为了排除其他可能的问题，我会检查你的头颅影像。  
46. 患者：好的，请医生帮我检查清楚。  
47. 医师：经过检查，并结合你的症状，我认为你患上的是群发性头痛。  
48. 患者：群发性头痛是什么？严重吗？  
49. 医师：这是种特殊类型的头痛，发作时会很剧烈，但我们可以通过治疗缓解症状和减少发作频率。  
50. 患者：好的，谢谢医生，我会按照建议去治疗的。"
