"1. 医师：您好，请问您今天为什么来就诊？  
2. 患者：医生，我左手总是抖得厉害，还有些站不稳。  
3. 医师：您的症状是从什么时候开始的？  
4. 患者：大概一年前吧，那时候左手在休息的时候会抖动，后来慢慢加重了。  
5. 医师：您说的抖动会在什么时候更明显？  
6. 患者：紧张的时候特别明显，但睡觉的时候就没有了。  
7. 医师：最近是否有其他的不适？  
8. 患者：有的，半年前开始走路变得慢了，起步也觉得特别困难。  
9. 医师：具体说说走路的时候您觉得哪里不对劲？  
10. 患者：感觉步子迈不开，还会不自觉地跑起来，但是步伐又很小，总感觉不稳。  
11. 医师：您的左手抖得厉害，那右手有类似的症状吗？  
12. 患者：没有，右手没有问题，就左手这样。  
13. 医师：除了抖动和走路困难，您在日常活动中有什么其他变化吗？  
14. 患者：动作明显变少了，总觉得懒得动，写字也变得特别小，连签名都很费劲。  
15. 医师：您有没有头晕、胸闷或者其他不适？  
16. 患者：没有这些症状，就手和走路的问题。  
17. 医师：咀嚼和吞咽食物有没有困难？  
18. 患者：没有什么问题，吃饭挺正常的。  
19. 医师：您的家人有没有发现您其他方面的变化？  
20. 患者家属：医生，我觉得他表情变得很僵硬，平时很少说话，也不怎么笑了。  
21. 医师：明白了，您之前有得过什么慢性疾病吗？比如高血压、糖尿病？  
22. 患者：没有，我平时挺健康的。  
23. 医师：是否有类似的问题，比如家族中有人手抖类似症状吗？  
24. 患者：没有，家里人都挺好的。  
25. 医师：日常生活中喝酒或者吸烟吗？  
26. 患者：都不喝也不抽。  
27. 医师：最近有没有感到特别累或者体重变化？  
28. 患者：没有感觉特别累，体重也没什么变化。  
29. 医师：之前有看过相关医生或者做过什么检查吗？  
30. 患者：没有，这是第一次过来看医生。  
31. 医师：查体时看到您的面部表情比较少，平时还会主动和人交流吗？  
32. 患者：说的确实不多了，总觉得没什么想聊的。  
33. 医师：我看到您左手抖得频率大概是4-6次每秒钟，这种情况您自己感觉到不？  
34. 患者：是的，我左手的抖得很明显，尤其是放松的时候。  
35. 医师：刚查体过程中，发现您的肌肉有点僵硬，是不是运动起来没以前流畅了？  
36. 患者：是的，动作比以前僵硬多了，特别是起床时更明显。  
37. 医师：您的其他关节或者肌肉有没有痛呢？  
38. 患者：没有痛，就是动作慢了。  
39. 医师：今天做的影像学检查，右侧脑内多巴胺神经减退比较严重，对此您了解过吗？  
40. 患者：不了解，医生，您能告诉我是什么问题吗？  
41. 医师：初步看您的症状和检查结果，我们考虑您是帕金森病。  
42. 患者：帕金森病是怎么回事？  
43. 医师：这是个慢性神经系统疾病，主要影响大脑中控制运动的神经元，会引起震颤、动作缓慢和平衡障碍。  
44. 患者：那这个病严重吗？  
45. 医师：虽然尚无办法完全治愈，但可以通过药物和康复治疗改善症状。  
46. 患者：那我需要吃什么药呢？  
47. 医师：我们会给您开levodopa和carbidopa的联合药物，另外加用pramipexole和benztropine来帮助缓解症状。  
48. 患者：这些药需要吃多久？  
49. 医师：这是长期性的治疗，我们会根据您的情况调整用药方案。  
50. 患者：好的，医生，我会好好配合治疗。  "
