"1. 医师：您好，请问您最近有什么不舒服的地方吗？  
2. 患者：医生，我最近总是感到很累，没什么力气，而且也不怎么想吃东西。  
3. 医师：这种感觉持续了多久呢？  
4. 患者：大概两周了吧。  
5. 医师：除了倦怠和食欲不振，还有其他症状吗？  
6. 患者：有时候头会轻微地痛，还有点恶心。  
7. 医师：这些症状在休息后有缓解吗？  
8. 患者：没有，休息了也没什么效果。  
9. 医师：两周前开始出现这些症状时，有没有发生什么特别的事情，比如感冒、过度劳累或者其他疾病？  
10. 患者：没有特别的事情，就是突然开始觉得不舒服的。  
11. 医师：那您的饮食情况怎么样呢？有没有恶心呕吐的情况？  
12. 患者：恶心是有一点，但并没有吐，就是觉得吃不下东西，最近饭量减少了很多。  
13. 医师：您的大小便有没有什么异常，比如尿色或者大便颜色的变化？  
14. 患者：好像从上周开始尿变得很黄，有点像茶色一样。大便没太注意，好像没什么变化。  
15. 医师：您刚提到两周前开始不舒服，那这几天症状是不是加重了或有新变化？  
16. 患者：是的，三天前家里人说我眼睛和皮肤变黄了，还跟我说赶紧来看医生。  
17. 患者家属：对，我发现他眼白和脸都有点发黄，这几天我们都很担心。  
18. 医师：好的，谢谢您的补充。您平时有肝病史或者肝炎相关的检查记录吗？  
19. 患者：没有从前没有过肝病，不过之前也没有太在意相关的检查。  
20. 医师：那您有没有接触过肝炎患者或者到过肝炎多发地区呢？  
21. 患者：没有印象，好像没有接触过这样的病人。  
22. 医师：您平时有没有饮酒或者使用一些特殊的药物？  
23. 患者：喝酒很少，有时家里聚会喝一两杯，药物基本没用过。  
24. 医师：那您的职业或者工作环境会接触到一些化学品或者毒物吗？  
25. 患者：没有，我是办公室职员，没有接触这些东西的机会。  
26. 医师：家里有没有人得过肝病或者类似的疾病？  
27. 患者家属：没有，我们家人身体状况都一直挺好的。  
28. 医师：最近有没有发生特别大的压力或者情绪上的问题？  
29. 患者：工作上一切正常，生活也挺平稳的，没有太多烦心事。  
30. 医师：您的体重近期有没有明显变化，比如突然减轻或增加？  
31. 患者：体重有点减轻，但也就是因为吃得少吧，不是很多的变化。  
32. 医师：好的，那如果让您回想一下，您小时候有没有打过乙肝疫苗或者检查过乙肝抗体？  
33. 患者：小时候应该打过疫苗，但之后没再检查过，不太确定有没有抗体。  
34. 医师：这些症状刚开始的时候您有没有使用过一些家庭治疗的方法，比如吃维生素、草药之类的？  
35. 患者：没有，这次一直没有用药，就以为休息可以缓解。  
36. 医师：除了倦怠感和黄疸，肚子有没有不舒服，比如疼痛或者腹胀？  
37. 患者：肚子有点酸痛，好像是在右边这块，尤其是按的时候会疼一点。  
38. 医师：哦，那疼痛的部位是持续的还是偶发性的呢？  
39. 患者：不一直疼，就是碰到或者稍微用力按压时感觉到比较明显。  
40. 医师：请问您有注意到皮肤上有没有瘙痒、红点或者蜘蛛痣的出现？  
41. 患者：没有这些，就皮肤和眼睛发黄，但也不痒。  
42. 医师：好，那您最近有没有发烧或者盗汗的现象？  
43. 患者：我测过体温，都是正常的，也没有出汗问题。  
44. 医师：那您会觉得意识模糊或者记忆力减退吗？  
45. 患者：没有，脑子很清醒，记性也没什么太大问题。  
46. 医师：好的，您最近有没有感冒或者上呼吸道感染的情况？  
47. 患者：没有感冒，很健康的样子，直到这些症状突然出现。  
48. 医师：听完您的描述和家属的补充，我有一定的初步印象了，但需要结合化验和检查的结果来明确诊断。  
49. 患者：好的医生，那具体什么问题呢？  
50. 医师：根据您目前的症状和检查，您的情况符合急性乙型肝炎的诊断，我们会立即为您展开支持治疗和抗病毒治疗。"
