"1. 医师：您好，请问您今天哪里不舒服？  
2. 患者：医生，我右下腹部很痛，伴着没什么胃口。  
3. 医师：哦，从什么时候开始出现这些症状的呢？  
4. 患者：差不多两天前吧，一开始是上腹部有点隐隐作痛。  
5. 医师：后来疼痛有什么变化吗？  
6. 患者：疼痛慢慢转移到右下腹，现在比之前疼得厉害了。  
7. 医师：疼痛是持续性的还是间歇性的呢？  
8. 患者：现在是持续的，一直疼。  
9. 医师：有没有什么事情会让疼痛加重或缓解？  
10. 患者：翻身的时候感觉更疼，平躺不动稍微好点。  
11. 医师：这期间有没有恶心或者呕吐？  
12. 患者：有点恶心，但没有吐过。  
13. 医师：体温有升高或者打寒战吗？  
14. 患者：不知道算不算发烧，但我没觉得冷，也没有打寒战。  
15. 医师：用家里温度计测过体温吗？  
16. 患者：没有测过，只是觉得有点比平时热。  
17. 医师：平时大便和小便正常吗？  
18. 患者：小便正常，最近没有大便。  
19. 医师：像这样疼痛以前有过吗？  
20. 患者：没有，这是第一次这么疼。  
21. 医师：过去做过相关的肠胃检查吗？  
22. 患者：没有，平时都挺好的。  
23. 医师：你有高血压病史是吗？  
24. 患者：是，有多年高血压，一直在吃药控制。  
25. 医师：用的是什么药？控制效果如何？  
26. 患者：吃硝苯地平，血压基本正常。  
27. 医师：有没有糖尿病或其他慢性疾病的病史？  
28. 患者：没有，也没有做过手术。  
29. 医师：好的，那平时饮食或生活有什么特别之处吗？  
30. 患者：一切正常，就是这两天胃口特别差。  
31. 医师：家人有没有遗传性的疾病，比如肠胃方面的？  
32. 患者：没有，我们家人健康挺好的。  
33. 医师：你最近两天有用过力度较大的活动吗？  
34. 患者：没有，工作比较轻松，活动也不多。  
35. 医师：有没有服用过其它药物或补品？  
36. 患者：没有，就只吃高血压的药。  
37. 医师：你的疼痛是固定在右下腹吗？有没有扩散到其他部位？  
38. 患者：现在就是右下腹，之前上腹有点不舒服。  
39. 医师：有没有按压过疼痛的地方，感觉怎么样？  
40. 患者：按的时候更疼，所以没敢碰太多。  
41. 医师：听诊时肠鸣音有点减弱，你之前有没觉得肚子胀气？  
42. 患者：有点胀，不过没特别明显。  
43. 医师：右下腹压痛我感觉挺明显，有反跳痛，医生触诊时疼痛加剧了吗？  
44. 患者：是的，按的时候特别疼，还反弹似的痛。  
45. 医师：你的体温刚刚我们测是37.8℃，稍微偏高。你觉得自己精神状态怎么样？  
46. 患者：有点没精神，但不是特别累。  
47. 医师：好的，我们化验检查显示白细胞明显升高，提示有感染，你之前有没有过类似症状？  
48. 患者：没有，这是第一次，疼的我这两晚都没睡好。  
49. 医师：从超声和CT结果来看，阑尾处有肿大和炎症迹象。  
50. 患者：那是阑尾炎吗，医生？  
51. 医师：是的，根据检查和症状，我们诊断为急性阑尾炎，需要手术治疗。"
