"1. 医师：您好，请问最近有什么不舒服的地方吗？  
2. 患者：医生，最近几天我一直头晕，而且头也很痛。  
3. 医师：这些症状大概从什么时候开始的？  
4. 患者：大概是四天前吧，那天我在室外工作了好几个小时。  
5. 医师：室外工作时，天气怎么样？  
6. 患者：非常热，感觉应该有35度以上。  
7. 医师：那您在工作时有喝足够的水吗？  
8. 患者：没怎么喝水，出汗倒是非常多。  
9. 医师：工作完以后，您的症状是从头晕开始的吗？  
10. 患者：是的，刚开始就是头晕和乏力。  
11. 医师：当时有没有休息或者采取什么措施？  
12. 患者：没有特别在意，还是继续工作了。  
13. 医师：后来症状有发生什么变化吗？  
14. 患者：后来慢慢加重了，还出现了意识有点模糊，有时候肌肉抽搐。  
15. 医师：肌肉抽搐在哪里比较明显？  
16. 患者：主要是腿部，像抽筋一样。  
17. 医师：那您这些天在家有没有服用什么药物或者饮品？  
18. 患者：喝过一些电解质饮料，可是没什么用。  
19. 医师：这些症状影响您的日常生活了吗？  
20. 患者：影响很大，感觉很虚弱，头更痛了，甚至会恶心。  
21. 医师：今天症状有没有加重？为什么选择今天来看医生？  
22. 患者：今天实在忍不下去了，肌肉一直在抽搐，头痛也厉害。  
23. 医师：您在以往有没有类似的经历？  
24. 患者：从没有过这样的情况。  
25. 医师：最近有没有其他疾病或者吃过什么药物？  
26. 患者：没什么病，平时就一些高血压，吃常规药。  
27. 医师：现在感觉口渴吗？嘴巴有没有觉得特别干？  
28. 患者：口挺渴的，嘴巴也干得很。  
29. 医师：平时尿液的颜色和量有没有变化？  
30. 患者：最近尿少了，颜色还比较深。  
31. 医师：走路或者活动时有没有觉得无力或者腿发软？  
32. 患者：有点，但不是很严重。  
33. 医师：您平常的工作环境是怎样的？是不是经常在高温下？  
34. 患者：有时候会在室外工作，但最近天气太热了，比以前更难受。  
35. 医师：最近睡眠怎么样？有没有觉得异常疲劳？  
36. 患者：有点睡不着，总觉得不舒服。  
37. 医师：除了头痛和抽筋，还有没有其他症状，比如发烧或咳嗽？  
38. 患者：好像有点发烧，但没咳嗽。  
39. 医师：您在饮食方面有没有改变，比如胃口不好或者不愿意吃东西？  
40. 患者：胃口确实一般，吃得不多。  
41. 医师：除了恶心外，有没有呕吐过？  
42. 患者：没有呕吐，只是觉得想吐。  
43. 医师：您的家人对您这些情况有没有表示担心？  
44. 患者：他们很担心，让我今天一定得来医院。  
45. 医师：我们刚才测了体温，发现您有发热，温度是39.3℃，您自己有没有感觉很热？  
46. 患者：有，感觉身体发烫，还很不舒服。  
47. 医师：您有没有感觉心跳加快或者呼吸有点急促？  
48. 患者：有！最近觉得心跳快得很，喘气也快。  
49. 医师：结合您的情况以及暴露在高温环境的病史，我高度怀疑您可能是热中症。  
50. 患者：热中症？这是什么病，会怎么样呢？"
