"1. 医师：请问最近身体有哪里不舒服吗？  
2. 患者：医生，我最近老是心跳得很快，手还不停地抖。  
3. 医师：这些症状持续多久了？  
4. 患者：大概有五个星期了，而且感觉越来越严重。  
5. 医师：发作前有明确的诱因吗，比如受刺激、压力大或者生病了？  
6. 患者：没有特别的原因，就是突然开始这样了。  
7. 医师：除了动悸和手抖，还有没有其他不适，比如发热或者咳嗽？  
8. 患者：没有发热也没有咳嗽，就是经常觉得很累，也睡不好。  
9. 医师：睡不好的话，主要是入睡困难还是容易醒？  
10. 患者：入睡特别困难，有时候还会半夜醒来，总觉得很烦躁。  
11. 医师：最近体重有没有什么变化呢？  
12. 患者：最近瘦了不少，大概瘦了五六公斤吧。  
13. 医师：最近饮食和运动量有没有什么改变？  
14. 患者：饮食和运动都差不多，没改变。  
15. 医师：平时的精神状况怎么样，是不是更容易紧张或者焦虑？  
16. 患者：最近老是觉得烦躁，心情不稳定，容易发脾气。  
17. 医师：有没有注意到晚上出汗特别多或者感到全身发热？  
18. 患者：没有特别注意到。  
19. 医师：您的家族中有没有人有类似的症状或相关的疾病？  
20. 患者：没有听说过家里有类似的病。  
21. 医师：那么眼睛有没有出现什么问题，比如眼睛酸胀、视力模糊或双重影像？  
22. 患者：没有，这方面倒是没什么感觉。  
23. 医师：好的，我替您检查一下。先量一下体温和血压。  
24. 患者：好的，麻烦您了。  
25. 医师：您的体温是37.2℃，血压130/75 mmHg，心跳有些快，是122次每分钟。  
26. 患者：嗯，我也觉得心跳老是很快。  
27. 医师：我再摸一下您的颈部，看看甲状腺的情况。  
28. 患者：嗯，您检查吧。  
29. 医师：您的甲状腺两侧有些肿大，摸上去感觉挺软的，没有触痛。  
30. 患者：这很严重吗？  
31. 医师：暂时还不能确定，我需要做进一步的检查。甲状腺周围没有触到结节，这点比较好。  
32. 患者：那还需要其他什么检查呢？  
33. 医师：我们需要验一个血，看看您的甲状腺功能指标，比如T3、T4、TSH，这些可以帮助我们判断。  
34. 患者：好的，那我需要空腹去吗？  
35. 医师：不需要，随时都可以做。检查出来再告诉您结果。  
36. （过后）医师：我们看了一下您的检查结果，T3和T4都偏高，TSH非常低。  
37. 患者：这说明什么呢？  
38. 医师：这些显示您的甲状腺功能过于活跃，我们称为甲状腺功能亢进症。  
39. 患者：那是什么原因导致的？  
40. 医师：从检查来看，我们还发现了甲状腺抗体TRAb阳性，提示可能是Graves病。  
41. 患者：Graves病是什么病？  
42. 医师：这是一种甲状腺的自身免疫疾病，导致甲状腺分泌激素过多。  
43. 患者：那会不会很麻烦，能治好吗？  
44. 医师：现在有很好的治疗方法，比如使用药物来控制甲状腺激素的过度分泌。  
45. 患者：需要吃什么药呢？  
46. 医师：我们会给您开一种药叫丙硫氧嘧啶（propylthiouracil），帮助减少甲状腺激素的产生。  
47. 患者：吃这个药会有效果吗？  
48. 医师：一般几周之后，您的症状会明显缓解，同时我们还会给您加用一种叫普萘洛尔（propranolol）的药，控制心跳和手抖。  
49. 患者：那我需要注意些什么吗？  
50. 医师：稍后我们会详细和您说明用药方法和注意事项。这是一种可以治疗并控制的病，您放心就可以了。"
