"1. 医师：您好，请问是什么问题让您今天来医院呢？  
2. 患者：最近两个月，我常常会经历突发性的剧烈头痛，而且出汗特别多。  
3. 医师：这些头痛是每天都会发生吗？持续时间有多久呢？  
4. 患者：几乎每天都有，一般一天一到两次，每次大概持续10到20分钟。  
5. 医师：头痛时还有其他什么感觉吗？例如恶心、呕吐或者视力模糊？  
6. 患者：没有恶心呕吐，但是头痛的时候心跳很快，人也会很焦虑。  
7. 医师：您注意到这些症状有什么诱因吗？比如情绪波动或进食后？  
8. 患者：我没有发现特别的诱因，就好像突然就发作了。  
9. 医师：出汗是全身性的还是局部的？  
10. 患者：全身都在出汗，衣服都会湿透。  
11. 医师：除了头痛和出汗，您最近有没有感觉到体重有变化？  
12. 患者：是的，我感觉瘦了大概3公斤，但是饮食没什么改变。  
13. 医师：在这两个月中，您的睡眠和情绪怎样？有明显的改变吗？  
14. 患者：睡眠还行，但是每次发作的时候人很紧张，有点害怕。  
15. 医师：您的血压平时有没有测量过？有没有特别高的时候？  
16. 患者：没有特别测过，但有一次去药店测，是有点高。  
17. 医师：您有没有慢性疾病需要长期服药，比如甲状腺疾病？  
18. 患者：有，我8年前确诊了甲状腺功能减退，一直都在吃药。  
19. 医师：您每天服用什么药物，剂量是多少？  
20. 患者：我每天服用75微克左甲状腺素钠，这个剂量半年没调整过了。  
21. 医师：除了甲状腺问题，家里有没有人得过糖尿病或者高血压等疾病？  
22. 患者：父亲有高血压，母亲没有什么大问题。  
23. 医师：家里有人得过心血管疾病或者肿瘤吗？  
24. 患者：据我所知，没有肿瘤，但我父亲以前有心脏病。  
25. 医师：您在家里平时饮食偏咸吗？肉类吃得多还是少呢？  
26. 患者：饮食算正常，也不会特别咸，肉类吃得一般。  
27. 医师：问一下您的颈部有没有感觉到异常，比如肿块或者酸痛？  
28. 患者：没有注意到这种情况，摸着也没感觉有什么异常。  
29. 医师：那您的四肢有没有感觉到无力或者浮肿的现象？  
30. 患者：没有，走路和活动都没有问题，也没有浮肿过。  
31. 医师：最近有没有频繁出现排尿增多或者特别渴的情况？  
32. 患者：没有感觉这些症状，尿量和平时差不多。  
33. 医师：您以前有没有因为心悸或者出汗多去看过医生？  
34. 患者：没有，看医生也都是为了甲状腺的问题。  
35. 医师：这些头痛发作的时间是上午多还是晚上多？  
36. 患者：有时候是晚上，有时候是白天，没有特别规律。  
37. 医师：周围人有注意到您发作时的表现吗？比如脸色变化？  
38. 患者家属：是的，每次都脸特别红，看着很慌张的样子。  
39. 医师：患者有时候头痛结束后脸色会变得苍白吗？  
40. 患者家属：可能会有一点变化，但是过一会儿又恢复了。  
41. 医师：您的发作间隔是否越来越频繁？症状有没有逐渐加重？  
42. 患者：是的，最近比两个月前更频繁一些了。  
43. 医师：上次体检时，医师有没有提到肾上腺或其他部位有异常？  
44. 患者：没有特别提起，我也没做过什么检查。  
45. 医师：根据您的症状，我们会做一系列检查，例如尿液和影像学检查，请放心配合。  
46. 患者：好的，我会配合医生的安排。  
47. 医师：检查结果显示，您肾上腺有一个肿瘤，并且尿中儿茶酚胺水平很高。  
48. 患者：肾上腺肿瘤？会是什么问题呢？  
49. 医师：根据检查结果和特定症状，您可能是患了褐细胞瘤。  
50. 患者：这个病严重吗？需要怎么治疗呢？  "
