"1. 医师：您好，请问您今天感觉怎么样？  
2. 患者：医生，最近两天一直觉得胸口疼，还有点喘不过气来，心跳也特别快。  
3. 医师：您说的胸痛是从什么时候开始的？  
4. 患者：大概是两天前吧，那时候在散步，突然胸口像被压住了一样，很难受。  
5. 医师：请您描述一下疼痛的具体位置和感觉。  
6. 患者：疼是在胸骨后面，像是被什么东西压住了，范围差不多跟拳头大小吧。  
7. 医师：那疼痛有没有向其他地方扩散？  
8. 患者：有，疼的时候还会传到左边的肩膀和手臂这里。  
9. 医师：疼痛持续了多久？是什么情况能让它缓解？  
10. 患者：一般持续个十分钟左右，坐下来休息一会儿就好了。  
11. 医师：这两天您有没有反复出现类似的症状？  
12. 患者：有，最近只要稍微活动一下，疼痛又会来，不过休息一会儿就缓解了。  
13. 医师：在胸痛的时候，您有没有感到恶心、呕吐或者大汗淋漓？  
14. 患者：没有，就只是胸痛而已。  
15. 医师：有没有头晕目眩或者视物模糊？  
16. 患者：没有发生这些情况。  
17. 医师：您之前有没有类似的胸痛经历？  
18. 患者：以前从来没有，第一次就是两天前。  
19. 医师：您平时的身体怎么样，有没有什么慢性病？  
20. 患者：嗯，有高脂血症，吃药控制，但没有高血压或者糖尿病。  
21. 医师：您的家人中有没有人得过冠心病或者高血压？  
22. 患者：没有，我家人都没这方面的问题。  
23. 医师：您平时有没有吸烟或者喝酒的习惯？  
24. 患者：我不喝酒，但是一天抽一包烟，抽了有40年了。  
25. 医师：最近有特别劳累或者压力很大的事情发生吗？  
26. 患者：没有啊，日子过得挺平常的。  
27. 医师：您平时的饮食情况怎么样？油腻的东西吃得多吗？  
28. 患者：我爱吃肉，但最近医生让我控制饮食，少油少盐。  
29. 医师：这些胸痛发作的时候，您有注意到心跳特别快或者很乱吗？  
30. 患者：是的，每次心跳都会加快，好像胸口被顶着一样。  
31. 医师：平时有没有发现胸闷或者呼吸困难的感觉？  
32. 患者：没有，这两天才有点喘不过气的感觉。  
33. 医师：除了胸部以外，其他地方还有什么不舒服的地方吗？  
34. 患者：没有，就胸口和左胳膊疼，还有点喘。  
35. 医师：您平时活动量大吗？比如长期运动或者体力劳动？  
36. 患者：不会，我年纪大了，以前还锻炼，现在就散散步。  
37. 医师：最近生活中有没有剧烈情绪波动，比如过度兴奋或生气？  
38. 患者：没有，心情挺平静的。  
39. 医师：您的体检历史怎么样，最近一次体检是什么时候？  
40. 患者：大概半年多前，做了个普通体检。  
41. 医师：当时检查结果特别提到心脏方面有什么问题吗？  
42. 患者：没有，一切都说正常，只是胆固醇有点高。  
43. 医师：这些胸痛有没有影响您的睡眠？  
44. 患者：没有，晚上不疼，就是白天活动的时候才会。  
45. 医师：这些症状是不是吃药可以缓解？比如您有没有试过含硝酸甘油？  
46. 患者：没有用过硝酸甘油，我也不知道该用什么药。  
47. 医师：谢谢您的配合。根据您的情况，我们需要做一些检查，比如心电图和血液检查。  
48. 患者：好的医生，我都听您的安排。  
49. 医师：初步判断您的情况可能是跟心血管有关，比如心绞痛的一种表现。  
50. 患者：心绞痛？那是很严重的病吗？  
"
