"1. 医师：您好，请您告诉我今天为什么来就诊？  
2. 患者：医生，我喉咙痛了好几周了，而且最近体重减轻了不少。  
3. 医师：您的喉咙痛是从什么时候开始的？  
4. 患者：大概四周前开始的，一开始就是前脖子有点疼。  
5. 医师：疼痛是一开始就很严重吗？  
6. 患者：刚开始还好，就是有点酸痛，后来越来越疼。  
7. 医师：除了疼痛之外，还有其他不适吗？  
8. 患者：最近有发烧，最高接近39度多，还有就是很累。  
9. 医师：发烧是每天都有吗？  
10. 患者：对，一直断断续续的，有时候晚上感觉更难受。  
11. 医师：体重减轻有多少？是突然减的吗？  
12. 患者：差不多减了4公斤吧，就是这四周内慢慢减的。  
13. 医师：您有咳嗽或咳痰的症状吗？  
14. 患者：没有，呼吸也没问题。  
15. 医师：有没有晚上出很多汗，床单都湿掉的情况？  
16. 患者：没有，这个倒是没有。  
17. 医师：胃口怎么样？有没有恶心、呕吐或者拉肚子？  
18. 患者：胃口还行，没有恶心，也没有拉肚子。  
19. 医师：您的既往健康状况怎么样？有慢性疾病或其他病史吗？  
20. 患者：我很少生病，没有什么长期的病。  
21. 医师：您家里有人有甲状腺相关的疾病吗？  
22. 患者：家里没有听说谁有甲状腺问题。  
23. 医师：最近有没有服用什么特殊的药物？  
24. 患者：没有，我平时基本不吃药。  
25. 医师：您抽烟或者喝酒吗？  
26. 患者：都没有，我不抽烟也不喝酒。  
27. 医师：除了喉咙痛和体重减轻，您还有感到心慌或者乏力吗？  
28. 患者：有些心慌，有时候觉得很没力气。  
29. 医师：您最近有没有感到手抖或者睡眠不好？  
30. 患者：好像是睡得没以前好了，但手不会抖。  
31. 医师：这些症状对您的生活有没有特别大的影响？  
32. 患者：有的，工作都做不好，总觉得不舒服。  
33. 医师：能描述一下喉咙的具体疼痛位置吗？  
34. 患者：就在脖子正前面的地方，按压也疼得厉害。  
35. 医师：您自己有没有摸到什么肿块？  
36. 患者：就是摸着好像比以前硬了一点，也肿了。  
37. 医师：您发烧时有寒战或者全身肌肉酸痛吗？  
38. 患者：有一点酸痛，但不常寒战。  
39. 医师：我刚才检查时注意到您的甲状腺肿大，右侧比左侧明显，按压会痛，请问您的疼痛随着活动会加重吗？  
40. 患者：是的，动一下或者说话都会觉得更痛。  
41. 医师：一般什么时候疼得最厉害？  
42. 患者：有时候晨起或者躺着休息时会好一点，一动就疼得更厉害。  
43. 医师：平时皮肤或者其他地方有感觉红肿吗？  
44. 患者：没有，皮肤挺正常的。  
45. 医师：您最近接触过感染性疾病的人吗？  
46. 患者：没有印象，身边的人都挺健康的。  
47. 医师：我看您的实验室检查结果，甲状腺功能异常，炎症指标也比较高。  
48. 患者：是吗？所以问题是甲状腺出问题了吗？  
49. 医师：根据您的症状、体征和检查结果，我怀疑您是亚急性甲状腺炎。  
50. 患者：亚急性甲状腺炎？那是什么？"
