"1. 医师：您好，请问最近有什么不舒服的地方吗？  
2. 患者：医生，我右侧头突然疼得很厉害，一周前开始的。  
3. 医师：这种疼痛一天发生几次，每次大概持续多久？  
4. 患者：每天有2-3次，每次大概1到2个小时吧，晚上或者清晨发作比较多。  
5. 医师：除了头痛，还有其他症状吗，比如恶心、呕吐或者视物模糊？  
6. 患者：没有这些症状，但是我感觉右边鼻子很堵，还有点眼皮肿。  
7. 医师：您头痛的时候有没有流眼泪或者眼睛发红的感觉呢？  
8. 患者：对，每次头痛的时候右边眼睛会有点红，还流眼泪。  
9. 医师：这种疼痛是怎么样的感觉？钝痛还是刺痛？  
10. 患者：是一种刺痛，非常剧烈的那种疼，让我很烦躁。  
11. 医师：您以前有过类似的头痛吗？  
12. 患者：没有，这是第一次。  
13. 医师：您的家人有没有人有头痛或者其他类似的病史？  
14. 患者：没有，我家人一直都很健康。  
15. 医师：最近有没有受过伤，或者服用什么药物？  
16. 患者：没有受伤，也没有吃药。  
17. 医师：除了鼻塞，您有没有流鼻涕？鼻涕是什么颜色的？  
18. 患者：有一点分泌物，但不多，就是透明的黏液。  
19. 医师：您是做什么工作的？平时的生活压力大吗？  
20. 患者：我是IT行业的，工作挺忙，压力平时也不小。  
21. 医师：那您最近睡眠怎么样？有没有经常熬夜？  
22. 患者：睡得不是很好，最近发作痛的时候老是被吵醒。  
23. 医师：您平时饮食怎么样？有没有什么特别的饮食习惯？  
24. 患者：很正常，饮食均衡，没有特别的习惯。  
25. 医师：平时有没有喝酒或者抽烟？  
26. 患者：偶尔喝点酒，不抽烟。  
27. 医师：这种头痛在发作期间，您有没有试过一些缓解的方法，比如休息或者吃止痛药？  
28. 患者：试着休息，但效果不好，止痛药也没用。  
29. 医师：这次发作期间，您有没有发烧或者觉得身体乏力？  
30. 患者：没有发烧，也没觉得身体无力。
31. 医师：检查您的头，还有右眼皮轻微浮肿，对吧？  
32. 患者：是的，就是右眼皮有点肿。  
33. 医师：我刚刚检查您的眼睛，右眼有轻微结膜充血，对得上您说的流眼泪症状。  
34. 患者：是的，痛的时候眼睛红红的，总觉得有泪流出来。  
35. 医师：其他身体状况都正常，您的头痛偏向中一点，不考虑一般偏头痛。  
36. 患者：那医生，我这种问题是挺严重的吗？  
37. 医师：您别着急，我们还需要做一些检查排除其他问题，比如脑部检查确认没有其他异常。  
38. 患者：好的，那需要检查哪些内容呢？  
39. 医师：我们安排了脑部影像检查，比如MRI和MRA，结果可能需要时间出来。  
40. 患者：没问题，我配合检查。  
41. 医师：目前通过临床检查来看，并没有颈部强直或者中枢神经异常问题。  
42. 患者：那就好，我还真怕是脑袋里有什么严重病变。  
43. 医师：另外，您的血液检查结果也是正常的，没有感染或炎症指标升高。  
44. 患者：听到这些，我稍微放松些了。  
45. 医师：鼻窦影像也提示右侧筛窦粘膜轻微肿胀，但没有明显的窦炎。  
46. 患者：真的吗？那鼻子的症状似乎和头痛有关吧？  
47. 医师：是的，这些症状结合起来比较像一种叫“群发性头痛”的疾病。  
48. 患者：群发性头痛？这是怎么回事？  
49. 医师：这是一种很剧烈的原发性头痛，通常会伴随鼻塞、眼睛发红等症状。通过吸入纯氧和注射药物可以缓解发作。  
50. 患者：明白了，谢谢医生，听您的安排！"
