"1. 医师：您好，请问您今天来诊主要是什么不舒服呢？  
2. 患者：医生，我最近半年感觉一直口干，还总是觉得特别累，身体酸痛，尤其是关节疼得厉害。  
3. 医师：您说的口干具体是怎么样的情况？是不是一直觉得嘴巴干，需要一直喝水？  
4. 患者：是啊，就是总觉得嘴巴很干，不喝水根本受不了，夜里也得起来喝水。  
5. 医师：眼睛有没有干涩或者不舒服的感觉？  
6. 患者：嗯，有时候眼睛也干涩，特别是早晨刚起床的时候。  
7. 医师：那这种口干和眼干的现象是突然出现的吗？是什么时候开始的呢？  
8. 患者：应该是半年前开始的吧，开始只是偶尔有点干，现在越来越严重了。  
9. 医师：除了口干和眼干，有没有出现嘴唇爆皮或口腔溃疡的情况？  
10. 患者：嘴唇倒是经常爆皮，但溃疡好像没有。  
11. 医师：好的，刚才您提到关节疼痛，具体是哪些关节痛呢？  
12. 患者：主要是手指的关节，还有膝盖。早晨起来更疼，活动活动会好点。  
13. 医师：这些关节痛会不会有肿胀或红热的现象？  
14. 患者：好像没有，疼归疼，但不红也不肿，只是活动起来不太方便。  
15. 医师：那您最近有没有感觉到体重有什么变化？例如突然减轻或者增加？  
16. 患者：没有特别注意，但感觉没有变胖，可能还轻了一点吧。  
17. 医师：最近这段时间有没有特别容易感到疲劳，甚至是稍微活动一下就感觉累？  
18. 患者：是啊，这段时间老觉得没劲，做点事就觉得累得不行。  
19. 医师：您有没有感冒、发烧或者类似感染的症状？  
20. 患者：没有，完全没有感冒之类的症状。  
21. 医师：好的，那您之前有没有长期使用什么药物或者患什么慢性病呢？  
22. 患者：没有，我平时连感冒药都很少吃，也没患过什么长期的病。  
23. 医师：您的家族里有没有人得过类似的疾病？  
24. 患者：不太记得有这种情况，我们家人身体都挺健康的。  
25. 医师：您的职业是什么？有没有接触过一些特殊的工作环境，比如化学物品或者辐射？  
26. 患者：我以前是办公室文职，没有接触过特殊的工作环境。  
27. 医师：请问您是否吸烟或者饮酒？  
28. 患者：都没有，我不抽烟，也很少喝酒。  
29. 医师：好的，那您最近有没有去过哪里旅游或者长期呆在干燥的地方？  
30. 患者：没有啊，我都是待在家附近，这里的天气也不算特别干燥。  
31. 医师：唇舌我们看一下，您可以张开嘴巴让我检查一下吗？  
32. 患者：好的，您看一下吧。  
33. 医师：您的口腔黏膜看起来很干，但没有溃疡，舌头也比较光滑。最近有没有疼痛或者异常的感觉？  
34. 患者：没有特别疼，但一直觉得干，有点不舒服。  
35. 医师：您在饮食时有没有特别容易噎着或者觉得咀嚼困难？  
36. 患者：喝水还好，要是吃干的东西就容易噎。  
37. 医师：那我们再聊聊眼睛的问题，您有没有视力模糊或者畏光的情况？  
38. 患者：好像没有特别明显的畏光，但眼睛长期干涩倒是真的。  
39. 医师：好的，我们现在就要做一些实验室和影像检查，结果出来后再具体分析。  
40. 患者：行，谢谢医生，我配合检查。  
41. 医师：您的血液和免疫学检查结果显示，我看到您的类风湿因子和抗核抗体呈阳性，并检测到抗SSA和抗SSB抗体，这提示可能是某种自身免疫性疾病。  
42. 患者：哦，那这是什么意思呢？  
43. 医师：另外，眼泪分泌实验显示您泪腺分泌明显减少，唾液腺影像学检查提示分泌功能也下降，这都和您目前的症状相符。  
44. 患者：噢，那我这个情况是不是确诊了呢？  
45. 医师：结合您的症状、检查和实验室结果，您的情况诊断为Sjögren综合征，也叫干燥综合征，是一种慢性的自身免疫性疾病。"
