"1. 医生：你好，你今天来是什么原因呢？  
2. 患者：医生，我这两年总是会喘不过气来，还会咳嗽，胸口很闷。  
3. 医生：症状是从什么时候开始的？  
4. 患者：大概是两年前，特别是在春天的时候容易这样。  
5. 医生：症状是每天都有，还是只在某些时候发作呢？  
6. 患者：不是每时每刻，不过发作的时候夜里会更严重。  
7. 医生：除了夜晚，运动后会不会更加明显？  
8. 患者：对，有时候跑步或者运动后，症状明显加重。  
9. 医生：最近有没有发烧或感冒的病史？  
10. 患者：没有特别的发烧，也没有感染过感觉。  
11. 医生：那接触冷空气或灰尘会让情况更糟吗？  
12. 患者：是的，一吹冷风或者闻到灰尘，马上就觉得喘得厉害。  
13. 医生：之前有没有类似的过敏历史，比如鼻炎或皮肤过敏？  
14. 患者：我一直有过敏性鼻炎，鼻子经常堵。  
15. 医生：您或家里人有没有哮喘的病史呢？  
16. 患者：我父母没有哮喘，我们家里好像也没有人有这个病。  
17. 医生：最近有没有吸烟或者被动吸烟的接触呢？  
18. 患者：我们家里没人吸烟，我也没有接触到。  
19. 医生：平时生活环境如何，房间是否比较潮湿或者螨虫多？  
20. 患者：我们家通风还可以，但可能有些灰尘，春天的时候螨虫会多些吧。  
21. 医生：您最近饮食、体重有没有显著改变？  
22. 患者：没有，吃饭和体重都很正常。  
23. 医生：除了喘气和咳嗽，胸口疼痛或者有其他不适吗？  
24. 患者：胸口压得慌，但没有特别的疼痛。  
25. 医生：咳嗽的时候有没有痰？如果有，颜色大概是什么样的？  
26. 患者：有一点点白色的痰，不是很多。  
27. 医生：竹流有没有得过肺炎或者其他严重的呼吸道疾病？  
28. 患者：没有生过大病，只有感冒的经历。  
29. 医生：刚听诊的时候，我注意到你呼吸有些哮鸣音，平时有没有注意到这种声音？  
30. 患者：有时候能听到，特别是喘不过气的时候会感觉更多。  
31. 医生：平日里跑步或者爬楼梯的感受怎么样？  
32. 患者：爬楼梯会觉得很吃力，跑步时更容易喘。  
33. 医生：家人有没有注意到您晚上睡觉的时候咳得特别厉害？  
34. 患者家属：我们发现她夜里容易醒过来，还经常咳嗽。  
35. 医生：晚上睡觉时有没有什么特别的姿势能缓解症状？  
36. 患者家属：她好像倾向半坐着会舒服一点。  
37. 医生：刚才鼻腔检查时发现您的鼻腔黏膜有点充血，鼻塞是不是经常发生？  
38. 患者：对，我鼻子经常不通，很难受。  
39. 医生：有没有用过什么药物缓解过这些症状？  
40. 患者：用过一些喷鼻药，偶尔有些效果。  
41. 医生：我注意到您的检测报告显示肺功能下降，吸入支气管扩张剂后有明显改善，这是重要的线索。您对这些支气管药物了解吗？  
42. 患者：不是很清楚，只听说支气管扩张剂是让气管张开的。  
43. 医生：是的，另外您的过敏原筛查发现对尘螨和花粉过敏，这大概是您的症状诱因之一。  
44. 患者：确实接触到这些就会更难受。  
45. 医生：血液检查提示嗜酸性粒细胞升高，您之前有没有被咬虫子导致过敏反应的经历？  
46. 患者：从来没有发生过过敏性休克或者特别严重的过敏。  
47. 医生：好，这些信息非常重要。综合您的病史、症状和检查结果，我们初步认为您是轻度的支气管哮喘。  
48. 患者：哮喘？那是一直不能治好吗？  
49. 医生：哮喘可以通过治疗很好地控制，我们会开一些吸入药物，帮助您减轻症状，您不要担心。  
50. 患者：明白了，谢谢医生！"
