"1. 医师：您好，请问您最近的身体状况怎么样？  
2. 患者：医生，我最近感觉不太好，总是很疲惫，情绪也不太稳定。  
3. 医师：您具体有哪些不舒服的地方？  
4. 患者：我发现自己脸部和肚子上的脂肪特别多，体重也增加了不少。  
5. 医师：这些情况是什么时候开始的？  
6. 患者：大概是六个月前吧，慢慢就这样了。  
7. 医师：体重增加得多吗？六个月前和现在相比大概增了多少？  
8. 患者：大概有10公斤吧，以前我大概76公斤，现在有86公斤了。  
9. 医师：除了体重增加，还有其他身体上的变化吗？  
10. 患者：嗯，我肚子上有一些紫色的纹路，皮肤变得很薄，有时候会出淤青。  
11. 医师：您有没有注意到血压或血糖有什么异常的地方？  
12. 患者：是的，最近测血压有点高，经常150/100左右，血糖也偏高。  
13. 医师：您的血糖是怎么发现异常的？是经常餐后发现高血糖吗？  
14. 患者：对，就是吃完饭后血糖很高，有时候空腹也接近7，还有人测我的HbA1c也高了。  
15. 医师：可否告诉我具体HbA1c数值是多少？  
16. 患者：好像是6.8%。  
17. 医师：您平时的血压是偶尔高还是很多时候都高？  
18. 患者：很多时候都高吧，已经挺长时间了，不过我没有什么严重的头痛。  
19. 医师：您的睡眠怎么样，有没有晚上容易醒或者打鼾的情况？  
20. 患者：我睡觉质量不好，总是打鼾，还经常醒过来。  
21. 医师：之前有看过医生吗？他们有没有提过您有睡眠呼吸暂停？  
22. 患者：是的，他们说我有睡眠呼吸暂停综合征。  
23. 医师：好的，除了这些，您有没有一些高脂血症或慢性病史呢？  
24. 患者：有，我的脂肪水平特别高，一直在吃降脂药。  
25. 医师：有没有家族病史，比如糖尿病、高血压之类的？  
26. 患者：我爸爸有高血压，妈妈也有糖尿病。  
27. 医师：我看您的体型是超重的，这种体型是不是最近这段时间才变成这样的？  
28. 患者：对，以前我长得还算普通，现在脸变得圆圆的，肚子也大了。  
29. 医师：这种满月脸和腹部脂肪堆积，您觉得影响您的日常生活了吗？  
30. 患者：是的，别人看我都觉得我变了，感觉挺自卑的。  
31. 医师：平时运动还正常吗，肌肉什么的有没有觉得越来越失力？  
32. 患者：运动量少了，力气确实没以前好，有点难受。  
33. 医师：此外，您四肢体毛有没有特别多？  
34. 患者：是的，我的手臂和腿上的毛变得挺多的。  
35. 医师：最近您的血压有没有波动得特别厉害，或者心跳异常？  
36. 患者：没有很大的波动，心跳也挺正常的，就总是偏高。  
37. 医师：我做了您身体检查，确认了您皮肤上有瘀斑，主要分布在哪些地方呢？  
38. 患者：主要是在手臂和腿上，轻轻碰一下就容易有淤青。  
39. 医师：关于血压服药了吗？有没有缓解一点？  
40. 患者：没有服药，但血压还是比较高，我觉得吃药可能会好些。  
41. 医师：您有没有做过一些血液相关的检查，比如肾上腺激素？  
42. 患者：我不太清楚，体检的时候医生没特别说过这些。  
43. 医师：这样吧，我检查到您的皮质醇水平可能很高，这需要再确认，是不是之前没查过？  
44. 患者：没有特别查这个，我的体检也只是基本的项目。  
45. 医师：那您有没有感觉到有时候情绪波动比较大，比如容易烦躁或者沮丧？  
46. 患者：是的，有时候情绪不怎么稳定，特别焦虑。  
47. 医师：那好，我怀疑您的症状和您内分泌系统的激素波动有关系，可以吗，我进一步查一下？  
48. 患者：当然可以，医生，您帮我查查吧，我也想知道是什么原因。  
49. 医师：结合您的体型变化、血糖血压的异常，还有检查的发现，我可能怀疑您是库欣综合征导致的问题。  
50. 患者：库欣综合征？这是种什么病？"
