"1. 医师：您好，请问您今天主要是什么不舒服呢？  
2. 患者：医生，我的上腹部很疼，疼得厉害，还会向右背部放射。  
3. 医师：这个疼痛大概是什么时候开始的，之前有没有类似的情况？  
4. 患者：是昨天饭后几个小时开始的，以前没有这么严重的疼痛。  
5. 医师：疼痛是一阵阵的还是持续性的？有没有什么能让它缓解？  
6. 患者：一阵阵的，痛起来很厉害，没有办法缓解。  
7. 医师：有没有伴随其他症状，比如恶心或者呕吐？  
8. 患者：有呕吐了几次，全都是食物，没有血，也看不到胆汁的样子。  
9. 医师：了解了，呕吐后有没有感觉好一点？  
10. 患者：没有什么好转，反而觉得胃更难受了一点。  
11. 医师：您之前是否有类似的消化系统问题，比如胃炎或胆囊方面的疾病？  
12. 患者：我之前有胆囊炎，医生说过我的胆囊有些问题，但没提过这么严重。  
13. 医师：好的，最近一次哪时候检查过胆囊，记得那时候的情况吗？  
14. 患者：大概一年前吧，医生说有些炎症，胆囊里面发现过小石头。  
15. 医师：明白，这次疼痛的部位主要是右上腹，对吧？按压会更疼吗？  
16. 患者：是的，医生，我摸到那个地方的时候疼得更厉害。  
17. 医师：疼痛的时候有没有发冷或者发热的感觉？  
18. 患者：稍微有一点热，好像有点低烧。  
19. 医师：好，那我们先量一下体温......（医师记录）现在为37.8摄氏度。  
20. 医师：最近有没有注意到皮肤或者眼白发黄的情况？  
21. 患者：没有，自己没发现发黄的情况。  
22. 医师：之前有没有什么肝脏方面的疾病，或者饮酒习惯？  
23. 患者：没有肝病的历史，我也很少喝酒。  
24. 医师：大便和小便的颜色有没有异常，比如大便变浅色，小便变深？  
25. 患者：没有，颜色都正常。  
26. 医师：有没有体重突然增加或减轻，或者胃口改变？  
27. 患者：没有特别的变化，胃口也一直还算正常。  
28. 医师：您有没有家族中其他人有类似胆囊或者肝脏疾病的历史？  
29. 患者：我母亲有过胆石症，好像还做过手术。  
30. 医师：明白了，您之前做的那些检查有没有发现胆管方面的异常？  
31. 患者：医生只说胆囊里面有一些小结石，胆管没提过问题。  
32. 医师：根据您的描述和目前检查，我们先做一些进一步的化验，可能需要血液和腹部超声了解情况。  
33. 患者：好的医生，请您安排。  
34. 医师：您最近有没有吃一些较油腻的食物或者暴饮暴食的情况？  
35. 患者：前天晚上好像吃了一些油炸的东西，有点多了。  
36. 医师：有没有最近使用什么新的药物或者补品？  
37. 患者：没有用新的东西，只平时吃点常见的维生素。  
38. 医师：好的，您的家人有没有发现您这次发作期间，精神状态或者脸色有什么异常？  
39. 患者家属：她昨天脸色看起来很苍白，呕吐之后有些出冷汗。  
40. 医师：谢谢您的补充，这是有帮助的情况。解小便是否正常？  
41. 患者：正常，没什么问题。  
42. 医师：好的，您的实验室检查显示白细胞偏高，表明体内可能有感染。另外，超声也提示胆囊炎症，这次的症状可能与胆石卡住胆囊颈部有关。  
43. 患者：那怎么办，需要马上做手术吗？  
44. 医师：您的情况属于急性胆石性胆囊炎，需要住院治疗，我们先用抗生素和药物控制炎症和感染。同时，这种情况多半需要手术切除胆囊来彻底处理问题。  
45. 患者：是会很严重的情况吗？  
46. 医师：如果不及时治疗，可能会引起更多并发症，但您现在的状态还在可控范围内，我们会尽快安排治疗。  
47. 患者：手术会很大吗？术后需要注意什么？  
48. 医师：我们通常会通过腹腔镜进行手术，创伤相对较小，恢复也很快。术后会给您详细说明饮食和生活上的注意事项。  
49. 患者：好的医生，那麻烦您尽快帮我安排。  
50. 医师：明白，我马上安排相关治疗，请您先安心配合治疗，稍后会进一步跟您解释细节。  "
