"1. 医师：您好，请问最近身体有什么不舒服的地方吗？  
2. 患者：医生，我最近半年总是很容易淤青，而且力气也越来越小。  
3. 医师：您描述的淤青是在哪里比较多？有没有特别大的面积？  
4. 患者：主要是在四肢外侧，碰一下就出现，有时候面积挺大的。  
5. 医师：这些淤青消退得快吗？有没有觉得皮肤愈合得慢了？  
6. 患者：是的，蓝斑很久才能消下去，划个口子也要好长时间才愈合。  
7. 医师：除此之外，您还有没有哪里觉得不舒服，比如全身的体力？  
8. 患者：我感觉腿的力气差了很多，尤其爬楼梯的时候困难。  
9. 医师：这个力气不足是什么时候开始的？一天中什么时候最明显？  
10. 患者：大概也是几个月前开始的，早上起床的时候特别明显。  
11. 医师：您还能正常走路吗？有没有严重影响日常生活？  
12. 患者：可以走路，但是觉得有点费力，走久了腿会累得厉害。  
13. 医师：您有没有注意到身体体型或者体重有什么变化？  
14. 患者：体重好像重了三个月，有8公斤这么多，脸也变圆了。  
15. 医师：你说的脸变圆了，有是在什么情况下发现的？  
16. 患者：朋友和家人都说我脸看起来胖胖的，特别是拍照明显。  
17. 医师：除了面部呢，还有没有其他部位的变化？比如身体其他地方？  
18. 患者：肩膀和脖子后面，好像多了点脂肪堆积，看着不对劲。  
19. 医师：除了这些外观变化，您有没有情绪方面的影响，比如心情？  
20. 患者：最近特别烦躁，总是失眠，注意力也比以前差很多。  
21. 医师：您以前有类似的情绪问题吗？情绪变化发生在什么时候呢？  
22. 患者：没有，以前挺平静的，大概这半年才开始的吧。  
23. 医师：我了解了，您有没有其他的慢性疾病或正在服用的药物？  
24. 患者：有，我有甲减，一直在吃左甲状腺素。  
25. 医师：您大概用了多久的甲状腺药呢？剂量有没有调整过？  
26. 患者：用了好几年了，最近好像没有调整过，每天都是50微克。  
27. 医师：您家里人有没有类似的疾病，比如高血压或者糖尿病？  
28. 患者：没有，我们家人身体都还挺健康的。  
29. 医师：好的，最近您有没有出现高血压、心跳快或者其他不适？  
30. 患者：没有特别注意，偶尔会觉得心烦气躁，血压没量过。  
31. 医师：您是不是最近睡得不好？有做过检查吗，比如血压测量？  
32. 患者：晚上确实总是睡不好，白天也觉得累，血压测量没注意过。  
33. 医师：好的，我也注意到您的面容有些圆润，可能与您的症状有关。  
34. 患者：对的，医生，我也觉得自己跟以前的样子不太一样了。  
35. 医师：我需要再问一下，最近这段时间有没有其他身体上的带状皮疹？  
36. 患者：皮疹倒是没有，但双腿上的淤青有些像条纹一样。  
37. 医师：这些条纹是在哪些部位？颜色如何？  
38. 患者：主要在大腿和腹部，是深红色或者紫色的条纹。  
39. 医师：好的，您平时饮食和作息规律吗？有没有情绪压力？  
40. 患者：饮食还算规律，但最近因为力气不足，生活确实有点乱。  
41. 医师：您会不会经常感觉疲倦，生活作息上有没有明显变化？  
42. 患者：最近几年偶尔会觉得累，但半年来好像变严重了。  
43. 医师：您提到的体重增加，是饮食上有什么变化吗？运动减少了吗？  
44. 患者：没有特别多吃东西，运动也差不多，就是胖了不少。  
45. 医师：听起来您提到的症状都与激素有关，我会做一些相关检查。  
46. 患者：好的医生，该做什么检查您说，我配合检查。  
47. 医师：初步检查提示您的皮质醇水平比较高，也见到肾上腺增生。  
48. 患者：这是什么意思？皮质醇水平高对我有影响吗？  
49. 医师：目前结合您的表现和检查结果，我怀疑是“库欣综合征”。  
50. 患者：库欣综合征？医生，它严重吗？需不需要马上治疗？"
