"1. 医师：您好，请问您今天是因为什么不适来就诊的？  
2. 患者：医生，我的腰一直痛，还有双腿麻木，走路时间长了腿还有些无力。  
3. 医师：这些症状持续多久了？  
4. 患者：大概一年多了。最近两个月更严重，每次走不到10分钟就必须停下来休息。  
5. 医师：休息后症状能缓解吗？  
6. 患者：对，休息后会好一些，但好的时间越来越短。  
7. 医师：那麻木和无力主要是在哪侧腿？  
8. 患者：左腿麻木和无力感更重一些。  
9. 医师：那平时有没有感觉大小便控制有问题？  
10. 患者：没有，我大小便还算正常。  
11. 医师：最近有没有摔跤或者受到外伤？  
12. 患者：没有特别的外伤。  
13. 医师：之前类似的腰痛症状有过吗？  
14. 患者：有啊，一年前也出现过，做了个CT，当时说是腰椎间盘突出。  
15. 医师：那时的症状跟现在比，有什么不同吗？  
16. 患者：挺像的，但现在明显严重了。  
17. 医师：那当时是怎么治疗的？效果怎么样？  
18. 患者：吃点药，还有理疗，但效果不大好。  
19. 医师：明白了，平时有没有感冒、发热，或者其他感染的症状？  
20. 患者：没有感冒，也没发热。  
21. 医师：平时血压和血糖控制得好吗？有检查过吗？  
22. 患者：我没有高血压，也没糖尿病。  
23. 医师：好的，那您现在走路是不是感觉步态不太稳？  
24. 患者：是的，走路总觉得腿没力，特别是左腿。  
25. 医师：腰痛有没有放射到腿部？比如从腰一直疼到腿部？  
26. 患者：有的，左腿的疼痛是从腰部蔓延下来的。  
27. 医师：平躺时如果抬高左腿会更痛或者麻木吗？  
28. 患者：是的，左腿抬到一半就觉得很酸痛麻木。  
29. 医师：这些症状对您日常生活的影响大吗？  
30. 患者：影响大，我现在连出去买菜都要走走停停，特别不方便。  
31. 医师：您平时都用什么样的姿势缓解腰痛？  
32. 患者：站不住的时候我会弯腰或者坐下来，感觉会轻松些。  
33. 医师：有没有觉得腰部的活动范围受限制，比如弯腰或后仰有困难？  
34. 患者：是啊，特别是前几天，腰部活动明显受限，弯腰特别困难。  
35. 医师：是否有感觉双腿皮肤对冷热或者针刺的敏感度降低？  
36. 患者：有，特别是左腿，感觉不如以前敏感了。  
37. 医师：好的，您最近有没有体重变化或者腰围增大？  
38. 患者：体重没有明显变化。  
39. 医师：最近情绪怎么样，会不会因为腰腿不适感到压抑或者烦躁？  
40. 患者：有点烦躁，毕竟老是走不远。  
41. 医师：您家里有人有类似症状吗？  
42. 患者：没有，这种问题只有我有。  
43. 医师：平时有没有腰肌无力的感觉或者肌肉萎缩情况？  
44. 患者：没有感觉肌肉萎缩，就是觉得腿没劲。  
45. 医师：明白了，那早上起床时或者晚上睡觉时，腰痛症状有没有区别？  
46. 患者：早上起床有点僵硬，但不如白天走路疼得厉害。  
47. 医师：影像学检查显示，您的腰椎退行性变化比较明显，并且有椎管狭窄压迫神经的情况。  
48. 患者：这么严重吗，那该怎么办啊？  
49. 医师：通过您的病史和检查，我们可以确诊是腰部脊柱管狭窄症，主要累及L4/5和L5/S1节段。  
50. 患者：谢谢医生，那这病是不是不好治？  "
