"1. 医师：你好，小朋友感觉哪里不舒服呀？  
2. 患者：我发烧了，还一直咳嗽，身上有疹子。  
3. 医师：发烧多久了？最高到多少度？  
4. 患者家属：他四天前开始发烧，最高到39.5°C。  
5. 医师：除了发烧还有其他不舒服吗？  
6. 患者：我咳嗽，鼻子堵住了，还有鼻涕。  
7. 医师：咳嗽是怎么样的？咳出痰了吗？  
8. 患者：是干咳，没有痰。  
9. 医师：皮疹是什么时候开始的？从哪里开始出现的？  
10. 患者：第三天脸和耳朵后面开始长出来的，后来身上到腿都有。  
11. 医师：皮疹会痒吗？按下去会褪色吗？  
12. 患者：不痒，按了也没有变。  
13. 医师：你有没有流眼泪，眼睛红吗？  
14. 患者家属：他的眼睛有点红，看起来有些流眼泪。  
15. 医师：你之前有没有得过类似的病？  
16. 患者家属：没有，他从来没得过类似的。  
17. 医师：最近有没有接触过患有传染病的病人？  
18. 患者家属：没有，我们家里其他人也没有生病。  
19. 医师：他有没有接种过麻疹疫苗？  
20. 患者家属：没有，我们之前没有给他接种麻疹疫苗。  
21. 医师：小朋友平时吃饭、睡觉怎么样？生长发育正常吗？  
22. 患者家属：都挺正常，没什么特别的。  
23. 医师：小朋友上幼儿园吗？最近有没有去过人多的地方？  
24. 患者家属：他上幼儿园，前几天有去游乐场玩。  
25. 医师：身体其他地方有没有不舒服？肚子疼，头疼之类的？  
26. 患者：没有，只有咳嗽和皮疹。  
27. 医师：我看一下他的皮疹可以吗？  
28. 患者家属：可以，您看看。  
29. 医师：（检查身体）皮疹比较多，压下去不褪色，还分布到了手掌和脚底。  
30. 医师：再看看小朋友的喉咙，张开嘴好吗？  
31. 患者：（张嘴）啊……  
32. 医师：（观察）喉咙有点红，我在他的颊黏膜上看到了一些小白点。  
33. 医师：摸摸他的脖子有没有疼痛，好吗？  
34. 患者家属：他最近一直说脖子有点不舒服，好像有点肿。  
35. 医师：（触诊）脖子淋巴结稍微有些肿大，按起来他有感觉疼吗？  
36. 患者：有点疼。  
37. 医师：再听听他的肺部，深呼吸……很好，没问题。  
38. 医师：这段时间有没有吐过或者拉肚子？  
39. 患者家属：没有，他就只是发烧和咳嗽。  
40. 医师：家里有没有人在小朋友症状出现之前得过类似的病？  
41. 患者家属：没有。  
42. 医师：通过初步检查，皮疹和你描述的症状符合一些传染病。我们需要进行一些血液检查和病毒抗体检测。  
43. 患者家属：好的，请帮我们做检查吧。  
44. 医师：检查结果出来后，我会尽快告诉你们。  
45. 患者家属：好的，谢谢您医生。  
46. 医师：（查看检查结果）血液检测白细胞正常，但淋巴细胞比例升高，C反应蛋白轻度上升。  
47. 医师：麻疹病毒的抗体检测显示阳性。这些结合他的症状符合麻疹诊断标准。  
48. 患者家属：麻疹？那严重吗？  
49. 医师：麻疹是一种病毒感染，但不用太担心，我们可以通过对症和支持治疗帮助他恢复。  
50. 医师：接下来我们会安排退烧药和一些措施，预防继发感染，同时关注他的恢复情况。"
